title,doi,url,eISSN,keywords,abstract,Notes
Effects of supplementing herbaceous forage legume pellets on growth indices and blood profile of West African dwarf sheep fed Guinea grass,https://doi.org/10.1007/s11250-018-1767-4,,,Animal performance;Blood parameters;Herbaceous legume pellets;Panicum maximum;Rams,"Twenty West African dwarf (WAD) rams with average body weight of 12.43 ± 0.5 kg were used for the experiment that lasted 84 days to investigate the effects of supplementing herbaceous forage legume pellets on weight change and blood profile of animals fed Panicum maximum basal diet. Sole Panicum maximum served as the control diet and three other experimental diets were P. maximum supplemented with Lablab purpureus pellets, P. maximum supplemented with Calopogonium mucunoides pellets and P. maximum supplemented with Mucuna pruriens pellets constituted the four treatments which were arranged in a completely randomised design. The rams were divided into four groups of five animals each and were balanced for variation in live weight before they were assigned the experimental diets. Panicum maximum was offered to the animals ad libitum and legume pellets were supplemented. Significant differences (P < 0.05) were observed in weight gain of the rams. Those fed the control diet had the lowest value of 41.88 g/day while rams supplemented L. purpureus pellets had the highest value (83.66 g/day). Haematological parameters, leucocyte values and serum biochemical indices of WAD rams were significantly (P < 0.05) different across the dietary treatments at the final stage of the trial. The values for red blood cells, haemoglobin concentration, packed cell volume and mean corpuscular haemoglobin decreased slightly in rams supplemented with M. pruriens pellets. Reduction of serum biochemical parameters was also noticed in rams supplemented with M. pruriens pellets. It can be concluded that L. purpureus pellets ranked the best among the herbaceous legume pellets as supplemental feed for West African dwarf sheep resulting in higher weight gain and better feed conversion efficiency with no deleterious effect on blood profile.
",
"Feed intake, digestibility and growth performance of Begait sheep kept under different feeding options",https://doi.org/10.5897/AJAR2020.15053,,,"Apparent digestibility, average daily gain, feed consumption, sheep","Thirty intact growing lambs were used to evaluate feed intake, digestibility and growth performance of Begait sheep breed kept under different feeding options. Animals were used in randomized completely block design with three dietary treatments in ten replicates. Treatments were grass hay fed ad libitum to all treatments plus a mixed diet of 48% wheat bran, 15% molasses, 35% cotton seed cake, 1% salt and 1% limestone (T1); 43% wheat bran, 20% sorghum grain, 35% Noug seed cake, 1% salt and 1% limestone (T2) and 47% wheat bran, 16% molasses, 35% sesame seed cake, 1% salt and 1% limestone (T3). Sheep in T3 (1123 g DM/day) consumed more feed (P < 0.001) as compared to sheep in T2 (1077 g DM/day) and T1 (1057 g DM/day). Higher apparent digestibility of DM, OM, CP, NDF and ADF were obtained in T3 groups than in the other treatment groups (P < 0.05). Average daily gain was significantly higher for T3 (158 g/day) than T2 (120 g/day) and T1 (118 g/day) (P < 0.001). Diet 3 was better as compared to the other feeding options.
",
Growth performance and nutrient digestibility of West African dwarf sheep fed high roughage diet containing Saccharomyces cerevisiae,https://doi.org/10.4314/as.v18i3.5,,,"yeast, ruminant, protein, faeces, fibre","A twelve-week study was conducted to determine the effects of dietary inclusion of yeast (Saccharomyces cerevisiae) on growth performance and nutrient digestibility of West African dwarf (WAD) sheep. A total of 12 lambs (6 rams and 6 ewes) were randomly allotted to three treatment diets as follows: treatment I was a high roughage diet with no inclusion of S. cerevisiae; treatment II was a high roughage diet with 0.75 g of S. cerevisiae per kg of diet; treatment III was a high roughage diet with 1.5 g of S. cerevisiae per kg of diet. The chemical composition of the high roughage diet is as follows: dry matter (89.20%), organic matter (85.87%), crude protein (13.21%), crude fibre (16.40%), ether extract (3.30%), ash (4.33%), nitrogen free extract (51.96%), neutral detergent fibre (45.25%) and acid detergent fibre (26.62%). Each group was made up of four replicates with one sheep serving as a replicate. There were significant (p < 0.05) differences among treatments in average daily feed intake (ADFI), and average daily weight gain (ADWG) while final body weight (FBW) and feed conversion ratio (FCR) were not significantly (p > 0.05) affected. There were significant (p < 0.05) differences among treatments in dry matter (DM), organic matter (OM), crude protein (CP), crude fibre (CF), neutral detergent fibre (NDF) and acid detergent fibre (ADF) digestibility coefficients values. Based on these results addition of 1.5 g of S. cerevisiae per kg of diet is recommended.
",
How to better account for livestock diversity and fodder seasonality in assessing the fodder intake of livestock grazing semi-arid sub-Saharan Africa rangelands,https://doi.org/10.1016/j.livsci.2018.07.002,,,Fodder intake;Digestibility;Fecal NIRS;Metabolic weight;Pastoralism,"The feeding behavior and fodder intake of cattle, sheep and goats grazing semi-arid sub-Saharan Africa rangelands in Senegal was studied over a one-year cycle. The objective of the study was to improve the assessment of fodder intake by livestock grazing rangelands in semi-arid sub-Saharan Africa. The study was conducted in the service area of a borehole that includes 354 pastoral settlements and a total of 11,000 cattle and 1800 small ruminants. The grazing behavior of five steers was monitored monthly. Their forage intake was estimated every month from hand plucking simulations of all the bites of forage taken by the steers 24 h out of 48. The feces they excreted during the day were collected in fecal bags. Near infrared spectrum (NIRS) images were used to analyze 80 samples of these feces, and the data were then added to an existing reference data set to predict fodder intake and digestibility using NIRS. The complete and contextualized data base was then used to predict the daily fodder intake and its digestibility by cattle, sheep and goats whose fresh feces were systematically and randomly sampled every month in the study area (768 samples). Annual means of the daily dry matter fodder intake were 68.4 ± 6.4 g/kg LW0.75 or 17.2 ± 1.7 g/kg LW for cattle, 73.1 ± 5.3 g/kg LW0.75 or 34.3 ± 2.8 g/kg LW for sheep, and 74.7 ± 8.7 g/kg LW0.75 or 37.1 ± 4.4 g/kg LW for goats. The annual mean organic matter digestibility of grazed fodder was higher for goats (67.4 ± 3.9%) than for sheep (64.1 ± 3.2%) and cattle (59.3 ± 3.8%). The seasonal variations in diet digestibility were bigger for cattle than for sheep, and smaller for goats. The standard reference used to assess livestock fodder intake in tropical Africa relies on a fixed daily intake rate per unit live weight of 25 g/kg LW. Our results show that this method overestimates (+45%) intake by cattle, especially in the dry season, and underestimates intake by small ruminants (–24%). Alternative assessment methods are proposed either relying on a single standard annual intake per metabolic weight unit for all ruminant species, 73 g/kg LW0.75 per day, or on separate annual intake norms per live weight unit for cattle (18 g/kg LW per day) and small ruminants (34 g/kg LW per day). In both cases, modulations (±12%) of the norm are proposed for use in the wet and dry season.",
"Impact of substituted mulberry (Morus alba) leaves with guinea grass (Panicum maximum) on feed intake, milk yield and composition of lactating West African Dwarf does",NA,https://www.ajol.info/index.php/ari/article/view/225939,1597-3115,"Goat, Feed efficiency, Lactating does, Panicum maximum, Morus alba, Milk yield","This study investigated the feed intake, milk yield and milk composition of lactating West African Dwarf (WAD) does fed fresh Panicum maximum which was substituted at five levels (0, 25, 50, 75 and 100 %) with fresh mulberry (Morus alba) leaves and concentrate diet was fed alongside the forages. Twenty-five lactating WAD does were used for the experiment for fifty-six days. The does were divided into five groups of five does per group in a completely randomized design and housed in individual pens. Dry matter (DM) intake, milk yield and feed efficiency (FE) for milk production of the goats were measured. There were significant differences (p<0.05) in feed intake, milk yield and FE of the goats. DM intake increased from 612.44 – 676.85 g/day and milk yield from 204.96 to 454.25 g/day with the inclusion of M. alba in the diet. The feed efficiency was 0.33, 0.57, 0.69, 0.74 and 0.48 for 0, 25, 50, 75 and 100 % M. alba diets respectively. Milk composition was not significantly influenced (p<0.05) by the level of M. alba leaves in the diet. Total solids in milk increased from 16.23 to 17.33 %; protein from 5.94 to 7.36 %; and fat from 4.03 to 4.71 %. In conclusion, supplementation of M. alba leaves in the diet enhanced feed intake and milk production in WAD does.",
Impact of varied time of feeding on the lactation and growth performance of West African Dwarf goat,https://doi.org/10.1007/s11250-021-02946-2 ,,,Adaptation strategy;Feed efficiency;Feeding regime;Goat milk;Growth performance,"This study was conducted to evaluate the effect of time of feeding on production performance of West African Dwarf (WAD) goats. Two experiments involving twenty-seven goats (15 bucks and 12 gravid does) were conducted. In Experiment I, the bucks were randomly allocated into three treatments of five replicates and fed for 115 days. In experiment II, pregnant goat-does were randomly allocated into three experimental treatments of four replicates per treatment  1 month to kidding. Goats were either fed in the morning (06:00 h), afternoon (12:00 h), or evening (18:00 h) respectively under natural light cycles. In experiment I, dry matter intake, weight gain, carcass characteristic, and meat chemical composition were not affected (P > 0.05) by time of feeding. In experiment II, data collection on feed intake, feed efficiency (FE), and milk yield spanned 6 weeks and were analyzed. From the results, milk yield in morning-fed goat-does was higher than evening-fed does while afternoon-fed does have the lowest yield at P < 0.001. Energy corrected milk in evening-fed does was higher (P = 0.006) than other treatments. Feed efficiency for milk yield and energy corrected milk yield (P < 0.001) in evening-fed does were higher than morning and afternoon-fed does. Milk component yield (g/day) for lactose (P = 0.002) was the highest in morning-fed does; evening-fed does had the highest (P = 0.001) crude fat while afternoon-fed does had the lowest yield for all milk component parameters. Conclusively, feeding in the morning and evening is recommended for milk production and component yield per day. However, for improved energy corrected milk yield and feed efficiency in lactating goats, feeding in the evening is recommended. It is recommended that further studies should be conducted on improving milk productivity in evening-fed goats due to the advantage it had over other feeding regimes. Thus, altering time of feeding could be a suitable alternative feeding strategy in a changing climate with a potential to improve production efficiency, especially in the tropics.",
"Improved region-specific emission factors for enteric methane emissions from cattle in smallholder mixed crop: livestock systems of Nandi County, Kenya",https://doi.org/10.1071/AN17809,,,"Africa, cattle, dry matter digestibility, feed basket, greenhouse gas, liveweight","National greenhouse-gas (GHG) inventories in most developing countries, and in countries in Sub-Saharan Africa in particular, use default (Tier I) GHG emission factors (EFs) provided by the Intergovernmental Panel on Climate Change (IPCC) to estimate enteric methane (CH4) emissions from livestock. Because these EFs are based on data primarily from developed countries, there is a high degree of uncertainty associated with CH4 emission estimates from African livestock systems. Accurate Tier II GHG emission reporting from developing countries becomes particularly important following the Paris Climate agreement made at COP21, which encourages countries to mitigate GHG emissions from agricultural sources. In light of this, the present study provides improved enteric CH4 emission estimates for cattle in Nandi County, Western Kenya, representing a common livestock production system found in East Africa. Using the data from measurements of liveweight and liveweight change, milk production and locomotion collected from 1143 cattle in 127 households across 36 villages over three major agro-ecological zones covering a full year, we estimated total metabolic energy requirements. From this and assessments of digestibility from seasonally available feeds, we estimated feed intake and used this to calculate daily CH4 production by season, and, subsequently, created new EFs. Mean EFs were 50.6, 45.5, 28.5, 33.2 and 29.0 kg CH4/head.year for females (>2 years), males (>2 years), heifers (1–2 years), young males (1–2 years) and calves (<1 year) respectively, and were lower than the IPCC Tier I estimates for unspecified African adult cattle, but higher for calves and young males. Thus, using IPCC Tier 1 EFs may overestimate current enteric CH4 emissions in some African livestock systems.",
In vivo digestibility of six selected fodder species by goats in northern Ghana,https://doi.org/10.1007/s11250-019-01989-w,,,Browse species;Digestibility;Supplementation;West African Dwarf goats,"An in vivo digestibility trial was conducted to evaluate the digestibility of six forages. These were selected indigenous browse species and groundnut haulms in Lawra and Jirapa Districts of the Upper West Region of Ghana. Groundnut haulms served as a control due to its known good digestibility in small ruminants. Thirty West African Dwarf (WAD) young castrated billy goats with a mean age of 8 months were used. The average live body weight was 8.9 ± 0.1 kg. The animals were randomly assigned to the six treatments and replicated five times in a completely randomized design. They were confined in metabolism cages. The adaptation period was 3 weeks after which data was taken for 10 days. The treatments were the leaves and tiny twigs of T1 Annona senegalensis, T2 Ficus gnaphalocarpa, T3 Pericopsis laxiflora, T4 Pterocarpus erinaceus, T5 Afzelia africana, and T6 (control) Arachis hypogaea. Feed intake, faecal matter and urine output were measured. The results indicated that dry matter (DM) contents of the feedstuffs were less than 50% but crude protein (CP) contents were higher than the minimum required for sustaining ruminants. Neutral and acid detergent fibre contents were high, and F. gnaphalocarpa, in particular, contained a higher level of phosphorus (P). The amounts of feed intakes were typical of most fodder species with the exception of P. laxiflora and P. erinaceus, which were lower (P < 0.05). The apparent digestibility values were also typical of most fodder species but the digestibility of A. africana fibre appeared to be lower. Nitrogen retention was positive for all test species with the exception of P. laxiflora, which was negative. Mortality was recorded in animals on P. laxiflora, and the rate was high. Pericopsis laxiflora leaves, even though morphologically similar to the leaves of P. erinaceus, were not a suitable fodder. Ficus gnaphalocarpa appeared to be the overall best fodder species in terms of nutrient uptake.",
"In vivo digestibility of three type rations based from green fodders, products and by-products of maize to the grasscutter in Benin",https://doi.org/10.4314/jab.v112i1.14,,,agricultural byproducts;digestibility;dry matter;feed intake;fibre content;green fodders;maize;protein content,"Objectives: In Benin, grass-cutter breeding constitutes an important achievement in breeding unconventional animal species. The objective is to evaluate the in vivo digestibility of 3 food rations at based on green fodders, products and by-products of maize and other food ingredients in the grasscutters in captivity. Methodology and Results: 24 grasscutters breeding aged five months divided into three lots of eight were installed in digestibility cages. The average food consumption ranged from 59.19±8.80 g to 145.67±6.44 g for the three rations. The apparent digestive utilisation coefficient (CUDa) in percentage for dry matter was from 78.10±0.01 and 82.19±0.02. That of the protein varied from 87.57±5.69 to 90.83±0.03% and the estimated crude fibre ranged from 74.51±0.07 to 78.44±0.03% for three rations. Conclusions and Application: The ration 2 consists of green fodders, products and by-products maize and other food ingredients is the most consumed and digested by of the grasscutters and ration 3 consists of products and by-products of maize is the least. The food ration 2 can be used by the grasscutters breeders for animal feed to improve the digestibility and performance for sustainable production of grasscutters.",
Inclusion of Tithonia diversifolia in multinutrient blocks for WestAfrican dwarf goats fed Brachiaria straw,https://doi.org/10.1007/s11250-014-0597-2,,,Brachiaria ruziziensis;Tithonia diversifolia;Multinutrient blocks;West African dwarf goat;In vivo digestibility,"Recent investigations suggest that the development of multinutrient feed blocks with inclusion of tree and shrub leaves could improve the nutritive value and digestibility of straw. In order to test these possibilities, three types of multinutrient blocks (MNB) namely: MNB0 (wheat bran = 100 %; Tithonia diversifolia leaf = 0 %), MNB50 (wheat bran = 50 %; T. diversifolia leaf = 50 %) and MNB100 (wheat bran = 0 %; T. diversifolia leaf = 100 %) were fed for 15 days in a 3 × 3 Latin square arrangement to West African dwarf goats consuming Brachiaria ruziziensis straw. The blocks presented a good cohesion and a good hardness. The inclusion of T. diversifolia improved levels of crude protein, mineral, feed unit for milk production (UFL) and feed unit for meat production (UFV), but decreased palatability. The effects on the digestibility of B. ruziziensis straw were evaluated in nine West African dwarf goats fed individually with MNB0 + straw, MNB50 + straw and MNB100 + straw. The dry matter, organic matter and crude fibre digestibility of B. ruziziensis straw increased slightly with increasing level of inclusion of T. diversifolia. The apparent digestibility of nitrogen was comparable for all diets independent of the level of inclusion of T. diversifolia. This study showed that the inclusion of T. diversifolia leaves in the MNBs can be recommended to improve the feeding of goats during periods of drought.",
Influence of dietary mineral sources on milk yield and composition of West African Dwarf Does,https://doi.org/10.31248/JASP2017.067,,,"Parity, minerals, milk yield, milk compositions","This study investigated the effects of different mineral nutrient sources (local potash (“kaun”), mineral lick
and ruminant mineral premix) on milk yield and composition of West African Dwarf does. Twelve WAD goats (first parity
does), weighing between 13.00±3.79 and 14.33±4.83 kg, were divided into four groups with three does per treatment; 0%
mineral (0MC), 2% local potash (2LP), mineral lick (2ML) and mineral ruminant premix (2RMP). The experiment lasted for
180 days (150 days pregnancy, 30 days milk collection). Data collected on the milk yield and milk composition of WAD
does were analysed using One-way analysis of variance (ANOVA), significant means were separated using Duncan
Multiple Range Test. Result revealed that for total milk yield and daily milk yield, does in 2ML (5919.67 millilitre/animal,
197.32 millilitre/animal/day), 2LP (5852.00 millilitre/animal, 195.07 millilitre/animal/day) and 2RMP (5131.00
millilitre/animal, 171.03 millilitre/animal/day) had the highest (p<0.05) values with 0MC (1642.67 millilitre/animal, 54.76
millilitre/animal/day) having the least values. For colostrum lactose, 2RMP (4.33±0.15%) and 2PLP (4.10±0.21%) had the
highest (p<0.05) values followed by 0MC (3.97±0.27%) and 2ML (3.30±0.25%). While, in milk total solid, 0MC
(11.40±0.35%) had the highest (p<0.05) value followed by 2ML (10.43±1.03%) and 2RMP (9.87±0.32%) with 2LP
(8.93±0.43%) having the least values. The study concluded that for high milk yield, diets containing 2ML could be fed to
does.",
"Intake and growth performance of West African Dwarf goats fed Moringa oleifera, Gliricidia sepium and Leucaena leucocephala dried leaves as supplements to cassava peels",NA,,2225-093X,"WAD goats, concentrate feeding, cassava peels, Moringa oleifera, Gliricidia sepium, Leucaena leucocephala","An 84-day feeding trial was employed to investigate dried leaves of Moringa oleifera (MOR), Leucaena
leucocephala (LEU) and Gliricidia sepium (GLI) as supplements to cassava peels by 16 growing West African
Dwarf goats, with a mixed concentrate (MC) of groundnut cake and wheal offals (50:50) as the reference
supplement. Feed intakes, weight gain, feed conversion (FCR) and protein efficiency ratios (PER) were
monitored. Crude protein contents of the browse leaves were high and ranged from 21.64 to 28.86 % for GLI
and LEU respectively. Dry matter intakes ranged from 3.55 to 4.12 % of body weights for animals on gliricidia
leaf and mixed concentrates supplements respectively. MOR supplementation resulted in an average weight gain
of 20.83 g/animal/day, comparable (P<0.05) to the value of 21.43 g/animal/day for the MC supplementation.
Feed and protein were however more efficiently utilized by animals on the MOR supplement, with FCR and
PER values of 14.94 and 1.87 which were both significantly (P>0.05) lower than the corresponding values of
16.54 and 2.74 for animals on the MC supplement. The high potentials of MOR for replacing expensive
concentrates as supplements to a wide array of fibrous crop residues, as represented by cassava peels, were
demonstrated by the results of this study",
Lactation performance and blood metabolites in lactating dairy cows micro-supplemented with Moringa oleifera leaf meal,https://doi.org/10.4314/sajas.v49i4.12,,,"antioxidant herbs, antioxidative status, immunity, Jersey cows, milk yield","This study examined the effects of micro-supplementation of Moringa oleifera leaf meal on lactation performance and blood metabolites of lactating dairy cows. Thirty Jersey cows (± 40 days in milk (DIM)) were supplemented with Moringa oleifera leaf meal (M) at 0 (M0), 30 (M30) and 60 g/cow/day. The experiment lasted until 90 DIM with 14 days adaptation. Milk yield was recorded daily and samples were collected once weekly to determine milk composition and total antioxidant capacity (MTAC). Blood samples were collected on days 54, 68 and 90 in milk to determine serum total protein (TSP), albumin (Alb), immunoglobulin G (IgG) and serum total antioxidant capacity (STAC). Body weight (BW) and milk yield were not affected (P >0.05) by Moringa supplementation. Moringa supplementation at M60 increased (P <0.05) milk fat and MTAC with a significant reduction in somatic cell count (SCC). Increased (P <0.05) total serum protein (TSP) and IgG with reduced (P <0.05) non-esterified fatty acids (NEFA) levels were observed in M60. Increased (P <0.05) STAC levels were noted in all groups supplemented with Moringa. Micro-supplementation with Moringa oleifera at 60 g/cow/day markedly reduced oxidative stress, which resulted in improved milk quality and immunity in lactating Jersey cows.",
"Meat production, feed and water efficiencies of selected South African sheep breeds",https://doi.org/10.1016/j.smallrumres.2022.106746,,,Growth performance;Indigenous breeds;Nutrient intake;Water efficiency;Water scarcity,"The study compared water intake, balance and efficiency, nutrient intake, digestibility and utilisation, growth performance, carcass attributes and income over feed costs for six South African sheep breeds; Pedi, Damara, Meatmaster, Dorper, Dohne Merino and Merino. Wether lambs (4–5 mo) were adapted to a pelleted total mixed diet containing 143.5 g crude protein/ kg DM and 10.29 MJ/ kg DM metabolisable energy for 21 d followed by 7 d and 42 d of digestibility and performance data collection, respectively. Water and nutrient intakes were lowest in Pedi and highest in Meatmaster (P ≤ 0.05). Compared to other breeds, Damara and Meatmaster had higher (P ≤ 0.05) DM digestibility, nitrogen balance and average daily gain, while Dorper and Damara had higher (P ≤ 0.05) neutral detergent fibre and ether extract digestibility, respectively. Pedi had lower (P ≤ 0.05) water balance than the rest of the breeds. Water and feed conversion ratios were lowest for the Pedi and Damara and highest for Dohne Merino (P ≤ 0.05). Damara and Pedi had lower (P ≤ 0.05) dressing percentages, hot and cold carcass weights than the other breeds. The lowest and highest income over feed costs were reported for Pedi and Dohne Merino, respectively. It was concluded that although Damara and Pedi had the most inferior meat production attributes, they were the most feed and water efficient breeds.",
"Nutrient intake, digestibility and growth performance of Washera lambs fed natural pasture hay supplemented with graded levels of Ficus thonningii(Chibha) leaves as replacement for concentrate mixture",https://doi.org/10.1186/s40066-018-0182-4,,,Concentrate mixture;Ficus thonningii leaves;Grass hay;Washera lambs,"The huge livestock resources of the country could not be used to its potential due to lack of good-quality feed throughout the year. Consequently, finding alternative feed supplements for livestock is an important step to sustain livestock production in the country. Ficus thonningii leaf is one of the potential feed resources for ruminants in the area. The experiment was conducted with the objective of evaluating the nutrient intake, digestibility and growth performance of local lambs fed natural pasture hay (NPH)-based diet supplemented with graded levels of Ficus thonningii dried leaves (FTL) and determining of the optimum level for replacing of concentrate mixture (CM). Twenty intact male yearling Washera lambs with initial body weight of 17.06 + 1.43 (mean + SE) kg were used in experiment. The experiment was conducted using randomized complete block design having four replications with five dietary treatments. The treatments were T1 = NPH + 0 g FTL +215 g CM; T2 = NPH + 112.5 g FTL +161.25 gCM; T3 = NPH + 225 g FTL +107.5 g CM; T4 = NPH + 337.5 g FTL + 53.75 g CM; and T5 = NPH + 450 g FTL +0 g CM. Data were analyzed using the general linear model procedures of SAS (version 9.3; 2002).",
Nutritional potential of bamboo leaves for feeding dairy cattle,https://doi.org/10.1590/1983-40632019v4954370,,,Fodder; in vivo digestibility; woody grass,"Feed shortage during the dry season in the highlands of Madagascar negatively impacts the dairy cattle productivity, as well as the farmers’ income. Bamboo can produce a high quantity of biomass and could be an alternative way to increase the fodder supply for cattle. The present study aimed to assess the compositional information and the optimal rate of bamboo as fodder for dairy cattle. Leaf samples from nine bamboo species were collected to determine their chemical composition and nutritive value. A feeding experiment was also conducted using ten dairy cows, over ten weeks. Bamboo leaves were mixed with maize silage in five proportions: SIL0:BAM100, SIL25:BAM75, SIL50:BAM50, SIL75:BAM25 and SIL100:BAM0. The contents of dry matter, total ash and crude protein in the bamboo leaves were, respectively, 44.5-64.6 %, 6.68-18.5 % and 7.71-15.4 %. In the feeding trial, the dry matter intake of bamboo leaves was 1.6-7.1 kg per day, with an average of 4.8 kg per day. The dry matter apparent digestibility of bamboo leaves was 37.4-56.4 %. The milk production reached 13.6-14.4 L per cow, per day, but there was no significant difference concerning the rate of bamboo leaves in the mixed diet (p > 0.05). The introduction of bamboo leaves into the ruminants diet did not affect their milk production.
",
"Forage Preference, Voluntary Intake, and In Vivo Digestibility of Six Tropical Tree Leaves by Sheep in Semi-Arid Areas in Benin Republic (West Africa)",https://doi.org/10.3390/su16062270,,, forage trees; nutritive value; neutral detergent fiber; productivity; sustainable,"Livestock supplementation with forage trees is becoming a sustainable alternative to traditional grazing on the open pastures during the dry season in Benin. However, little is known about the feeding preferences of sheep and the digestibility of such native tree/shrub fodder. Such knowledge could improve their use on smallholder farms. Multiple-choice feeding preference tests were conducted on six tree fodders (Annona senegalensis, Blighia sapida, Cassia sieberiana, Gmelina arborea, Khaya senegalensis, and Mangifera indica) to determine the best choice to feed the local rams and ewe Djallonke sheep. The cafeteria test involved four rams and four ewes. In addition, an in vivo trial using metabolic cages was conducted to evaluate the voluntary intake of dried woody leaves and the dry matter digestibility of diets containing these dried leaves. Preferences varied significantly (p ≤ 0.05) according to the woody species. Based on relative intake values, sheep preferred, in decreasing order, the leaves of M. indica, B. sapida, K. senegalensis, G. arborea, A. senegalensis, and C. sieberiana. The apparent digestibility of dry matter was highest (p ≤ 0.01) in the G. arborea diet (86.8%); all diets presented a value higher than 70%. This study provided helpful information about better resource utilization to improve animal productivity. Further study could evaluate the growth performance of sheep supplemented with tree fodder.",
Prediction of dry matter intake and gross feed efficiency using milk production and live weight in first-parity Holstein cows,https://doi.org/10.1007/s11250-022-03275-8,,,Correlation;Easy-to-measure traits;Feed intake;Feed efficiency;Stepwise regression,"Direct measurement of dry matter intake (DMI) presents a major challenge in estimating gross feed efficiency (GFE) in dairy cattle. This challenge can, however, be resolved through the prediction of DMI and GFE from easy-to-measure traits such as milk production (i.e. milk yield, energy-corrected milk (ECM), butterfat, protein, lactose) and live weight (LW). The main objective of this study was, therefore, to investigate the feasibility of predicting dry matter intake and gross feed efficiency for first-parity Holstein cows using milk production traits and LW. Data comprised of 30 daily measurements of DMI and milk production traits, and 25 daily LW records of a group of 100 first-parity Holstein cows, fed a total mixed ration. Gross feed efficiency was calculated as kg ECM divided by kg DMI. The initial step was to estimate correlations of milk production traits and LW with DMI and GFE, to identify the best potential predictors of DMI and GFE. Subsequently, a forward stepwise regression analysis was used to develop models to predict DMI and GFE from LW and milk production traits, followed by within-herd validations. Means for DMI, butterfat yield (BFY) and LW were 21.91 ± 2.77 kg/day, 0.95 ± 0.14 kg/day and 572 ± 15.58 kg/day, respectively. Mean GFE was 1.32 ± 0.22. Dry matter intake had positive correlations with milk yield (MY) (r = 0.32, p < 0.001) and LW (r = 0.76, p < 0.0001) and an antagonistic association with butterfat percent (BFP) (r =  − 0.55, p < 0.001). On the other hand, GFE was positively associated with MY (r = 0.36, p < 0.001), BFP (r = 0.53, p < 0.001) and BFY (r = 0.83, p < 0.0001), and negatively correlated with LW (r =  − 0.23, p > 0.05). Dry matter intake was predicted reliably by a model comprising of only LW and MY (R2 = 0.79; root mean squared error (RMSE) = 1.05 kg/day). A model that included BFY, MY and LW had the highest ability to predict GFE (R2 = 0.98; RMSE = 0.05). Live weight and BFY were the main predictor traits for DMI and GFE, respectively. The best models for predicting DMI and GFE were as follows: DMI (kg/day) =  − 54.21 − 0.192 × MY (kg/day) + 0.146 × LW (kg/day) and GFE (kg/day) = 4.120 + 0.024 × MY (kg/day) + 1.000 × BFY (kg/day) − 0.008 × LW (kg/day). Thus, daily DMI (kg/day) and GFE can be reliably predicted from LW and milk production traits using these developed models in first-parity Holstein cows. This presents a big promise to generate large quantities of data of individual cow DMI and GFE, which can be used to implement genetic improvement of feed efficiency.",
Reproductive and Lactation Characteristics of West African Dwarf Goats Offered Moringa oleifera Herbage Supplement,NA,,,lactation characteristics;Moringa oleifera herbage supplement;reproduction;West African Dwarf goats,"Humans have identified milk (product from female mammary gland) as a major source of protein and have recommended it for all ages. Humans have relied heavily on livestock, especially ruminants for intake. Among these ruminants, milk from cattle has been most used and researched into. Small ruminants (sheep and goat) also produce milk and are of growing interest recently. Among goats, the Saanen breed has been the “New Jersey” with about 3 liters of milk yield daily (Gőkdai et al. 2020). West African Dwarf goat is the predominant breed in Southern Nigeria. It produces a low quantity of milk when compared with other goat breeds (Devendra and Burns, 1983; Adebambo et al. 1994; Ojoawo and Akinsoyinu, 2014). Valerie (1996) reported that West African Dwarf (WAD) goats produce low milk when compared with other nonseasonal breeds with milk yield of 0.3 kg/day and had contributed to the low growth rate in the offsprings. However, it had been observed that remarkable improvement can be achieved under improved nutrition and management conditions (Milerski and Mares, 2001). Nutrition plays a major role in milk quantity and quality. One of the identified ways of assessing milk yield has been to assess the nutrition of the dairy ruminants (Milerski and Mares, 2001). This has usually been done with concentrate diets. However, ruminants depend on forage for survival (Banerjee, 2013). The response of ruminants in terms of performance and reproductive characteristics is being assessed using multipurpose trees. One of such trees of global interest is Moringa oleifera. Moringa oleifera leaf meal has been reported to increase feed intake, nutrient digestibility, reduced worm load, replaced conventional mixed concentrate and did not pose a health threat when included in diets of growing goats and sheep (Sultana et al. 2015; Yusuf et al. 2016; Zaher et al. 2020). Therefore, there is a need to assess the response of these goats to Moringa oleifera herbage supplementation before and after kidding; during lactation, and its ",
