B.Code,Project,accepted,B.DOI
AC0074,ACDC,TRUE,10.1016/j.agrformet.2018.12.006
AC0075,ACDC,TRUE,10.1007/s10457-017-0150-1
AC0076,ACDC,TRUE,10.1603/EC10233
AC0077.1,ACDC,TRUE,10.1007/s10705-005-7262-0
AC0077.2,ACDC,TRUE,10.1007/s10705-005-7262-0
AC0077.3,ACDC,TRUE,10.1007/s10705-005-7262-0
AC0078,ACDC,FALSE,""
AC0079,ACDC,TRUE,10.1016/j.heliyon.2021.e08005
AC0080,ACDC,TRUE,10.1017/S0014479720000125
AC0081,ACDC,TRUE,10.3390/atmos13030463
AC0082,ACDC,TRUE,10.1016/j.still.2006.07.013
AC0083,ACDC,TRUE,10.1016/j.agee.2021.107585
AC0084,ACDC,TRUE,10.1016/j.ejsobi.2006.07.018
AC0085,ACDC,TRUE,10.1080/09064710.2021.1918234
AC0086,ACDC,FALSE,""
AC0087,ACDC,TRUE,10.1007/s10457-005-3744-y
AC0088,ACDC,TRUE,10.1590/S0100-204X2016000900046
AC0089,ACDC,TRUE,10.1016/j.tfp.2021.100164
AC0090,ACDC,TRUE,10.1016/j.fcr.2020.107738
AC0091,ACDC,TRUE,10.1002/jsfa.4180
AC0092,ACDC,TRUE,10.1590/S0102-053620170112
AC0093,ACDC,TRUE,10.1002/ird.1681
AC0094,ACDC,TRUE,10.1017/S0014479714000155
AC0095,ACDC,FALSE,""
AC0096,ACDC,TRUE,10.1590/S0100-06832014000500015
AC0097,ACDC,TRUE,""
AC0098,ACDC,TRUE,10.1016/j.still.2019.104317
AC0099,ACDC,TRUE,10.1016/j.apsoil.2018.12.001
AC0100,ACDC,TRUE,""
AC0101,ACDC,TRUE,""
AC0102,ACDC,TRUE,10.1080/01904167.2022.2046083
AC0103,ACDC,TRUE,""
AC0104,ACDC,FALSE,""
AC0105,ACDC,TRUE,10.1016/j.scitotenv.2018.08.291
AC0106,ACDC,TRUE,""
AC0107,ACDC,TRUE,10.1016/j.jafr.2020.100096
AC0108,ACDC,TRUE,10.1016/j.agee.2006.03.013
AC0109,ACDC,TRUE,10.2134/agronj2012.0053
AC0110,ACDC,TRUE,10.1016/j.apsoil.2015.04.003
AC0111,ACDC,TRUE,10.1071/SR17214
AC0112,ACDC,TRUE,""
AC0113,ACDC,TRUE,10.1016/j.agsy.2013.03.006
AC0114,ACDC,TRUE,10.1016/j.geoderma.2021.115107
AC0115,ACDC,TRUE,10.1007/s11104-019-04124-8
AC0116,ACDC,TRUE,10.1016/j.eja.2008.01.008
AC0117,ACDC,TRUE,10.3390/agronomy11061161
AC0118,ACDC,TRUE,10.5433/1679-0359.2013v34n4p1695
AC0119,ACDC,TRUE,10.1590/1983-21252019v32n113rc
AC0120,ACDC,TRUE,10.1007/s42729-021-00423-1
AC0121,ACDC,TRUE,10.1016/j.scitotenv.2012.05.029
AC0122,ACDC,TRUE,10.1590/S1413-70542014000200004
AC0123,ACDC,FALSE,""
AC0124,ACDC,TRUE,10.1017/S0014479715000307
AC0125,ACDC,TRUE,10.1007/s10533-008-9222-7
AC0126,ACDC,TRUE,10.1016/j.still.2006.10.003
AC0127,ACDC,TRUE,10.1016/j.still.2022.105586
AC0128,ACDC,TRUE,10.2134/agronj2018.11.0710
AC0129,ACDC,TRUE,10.1016/j.ecolind.2017.08.032
AC0130,ACDC,TRUE,10.1016/j.agrformet.2016.05.001
AC0131,ACDC,TRUE,10.1002/jpln.201800011
AC0132,ACDC,TRUE,10.1071/SR07088
AC0133,ACDC,TRUE,10.1016/j.agee.2010.11.005
AC0134,ACDC,TRUE,""
AC0135,ACDC,TRUE,""
AC0136,ACDC,TRUE,10.15517/ma.v29i1.27127
AC0137,ACDC,TRUE,""
AC0138,ACDC,TRUE,10.35196/rfm.2020.4.371
AC0139,ACDC,TRUE,10.1007/s42729-020-00185-2
AC0140,ACDC,TRUE,10.1016/j.geoderma.2021.115336
AC0141,ACDC,TRUE,10.1017/S1742170522000369
AC0142,ACDC,TRUE,10.1016/j.geodrs.2021.e00430
AC0143,ACDC,TRUE,10.1016/j.agsy.2018.01.014
AC0144,ACDC,TRUE,10.1016/j.apsoil.2019.05.015
AC0145,ACDC,TRUE,10.5039/agraria.v13i3a5550
AC0146,ACDC,TRUE,10.3389/fenvs.2019.00013
AC0147,ACDC,TRUE,10.1590/0103-9016-2013-0425
AC0148,ACDC,TRUE,10.1590/S0100-83582010000300010
AC0149,ACDC,TRUE,10.1007/s11104-009-9893-4
AC0150,ACDC,TRUE,10.1111/gfs.12076
AC0151,ACDC,TRUE,10.1016/j.fcr.2011.07.002
AC0152,ACDC,TRUE,10.1111/wre.12437
AC0153,ACDC,TRUE,10.1590/S0100-06832014000300027
AC0154,ACDC,TRUE,10.36783/18069657rbcs20190013
AC0155,ACDC,TRUE,10.36783/18069657rbcs20200043
AC0156,ACDC,TRUE,10.1590/S0103-90162009000400013
AC0157,ACDC,TRUE,10.1590/1807-1929/agriambi.v22n2p113-118
AC0158,ACDC,TRUE,10.1590/1678-4499.2017242
AC0159,ACDC,TRUE,10.1016/j.fcr.2019.107675
AC0160,ACDC,FALSE,""
AC0161,ACDC,TRUE,10.1590/1983-21252021v34n102rc
AC0162,ACDC,TRUE,10.3390/agriculture11040290
AC0163,ACDC,TRUE,10.5935/1806-6690.20180057
AC0164,ACDC,TRUE,10.1515/opag-2021-0048
AC0165,ACDC,TRUE,10.1016/j.heliyon.2021.e06267
AC0166,ACDC,FALSE,""
AC0167,ACDC,TRUE,10.1111/j.1475-2743.2008.00166.x
AC0168,EiA,TRUE,10.1016/j.agee.2020.107175
AC0169,EiA,TRUE,10.1016/j.njas.2019.100317
AC0170,EiA,TRUE,10.3389/fsufs.2021.714212
AC0171,EiA,TRUE,10.1016/j.fcr.2020.108018
AC0172,EiA,TRUE,10.1016/j.fcr.2020.107806
AC0173,EiA,TRUE,10.3390/w11102103
AC0175,EiA,TRUE,10.1002/ldr.4339
AF0001,LTE,FALSE,""
AF0002,LTE,TRUE,10.1002/(SICI)1099-145X(199805/06)9:3<259::AID-LDR290>3.0.CO;2-V
AF0003,LTE,TRUE,10.1080/02571862.2022.2160881
AF0004,LTE,FALSE,""
AF0005,LTE,TRUE,10.18393/ejss.642212
AF0006,LTE,TRUE,10.1017/S001447970800673X
AF0007.1,LTE,TRUE,10.1016/0167-1987(85)90014-5
AF0007.2,LTE,TRUE,10.1016/0167-1987(85)90014-5
AF0007.3,LTE,TRUE,10.1016/0167-1987(85)90014-5
AF0007.4,LTE,TRUE,10.1016/0167-1987(85)90014-5
AF0007.5,LTE,TRUE,10.1016/0167-1987(85)90014-5
CJ0001,ACDC,TRUE,10.1017/S0014479707005303
CJ0002,ACDC,TRUE,10.1017/S0014479704002479
CJ0003,ACDC,TRUE,10.1017/S0014479719000206
CJ0004,ACDC,TRUE,10.1111/j.1365-2494.2009.00706.x
CJ0005,ACDC,TRUE,10.2134/agronj2011.0181
CJ0006,ACDC,TRUE,10.1080/09064710.2021.1998593
CJ0007,ACDC,TRUE,10.1080/03650340.2023.2175352
CJ0008,ACDC,TRUE,10.2134/agronj2011.0181
CJ0009,ACDC,TRUE,10.1016/j.still.2019.104515
CJ0010,ACDC,TRUE,10.3390/agronomy11010005
CJ0011,ACDC,TRUE,10.1002/agj2.21143
CJ0012,ACDC,TRUE,10.3390/w12102761
CJ0013,ACDC,TRUE,10.1016/j.njas.2019.100317
CJ0014,ACDC,TRUE,10.1016/j.fcr.2020.107833
CJ0015,ACDC,TRUE,10.1017/S0021859622000478
CJ0016,ACDC,TRUE,""
CJ0017,ACDC,TRUE,10.3390/agronomy12051216
CJ0018,ACDC,TRUE,10.1071/CP20383
CJ0019,ACDC,TRUE,10.1590/1807-1929/agriambi.v18n11p1116-1123
CJ0020,ACDC,TRUE,10.3390/su10030578
CJ0021,ACDC,TRUE,10.14393/BJ-v35n3a2019-39806
CJ0022,ACDC,TRUE,10.1002/fes3.365
CJ0023,ACDC,FALSE,""
CJ0024,ACDC,TRUE,10.1007/s10705-020-10049-x
CJ0025,ACDC,TRUE,10.1080/10440040802257181
CJ0026,ACDC,TRUE,10.1017/S1742170517000606
CJ0027,ACDC,TRUE,10.2134/agronj2017.02.0072
CJ0028,ACDC,TRUE,10.1007/s10705-004-1927-y
CJ0029,ACDC,TRUE,10.3390/w14010079
CJ0030,ACDC,TRUE,10.1016/j.fcr.2022.108656
CJ0031,ACDC,TRUE,10.1155/2023/2437607
CJ0032,ACDC,TRUE,10.1007/s42729-020-00240-y
CJ0033,ACDC,TRUE,10.1155/2022/3649355
CJ0034,ACDC,TRUE,10.1515/biol-2022-0537
CJ0035,ACDC,FALSE,""
CJ0036,ACDC,TRUE,10.1016/j.still.2012.05.008
CJ0037,ACDC,TRUE,10.1080/03650340.2017.1404580
CJ0038,ACDC,TRUE,10.1080/00103624.2018.1455846
CJ0039,ACDC,TRUE,10.1016/j.fcr.2022.108788
CJ0040,ACDC,TRUE,10.7717/peerj.12671
CJ0041,ACDC,TRUE,10.1016/j.agee.2018.08.010
CJ0042,ACDC,TRUE,10.3389/fsufs.2023.1052392
CJ0043,ACDC,TRUE,10.3390/agronomy11050863
CJ0044,ACDC,TRUE,10.1007/s11540-023-09625-9
CJ0045,ACDC,TRUE,10.1016/j.cropro.2013.12.024
CJ0046,ACDC,TRUE,10.1016/j.fcr.2019.05.002
CJ0047,ACDC,TRUE,10.1111/sum.12149
CJ0048,ACDC,FALSE,""
CJ0049,ACDC,FALSE,""
CJ0050,ACDC,TRUE,10.1016/j.fcr.2015.05.022
CJ0051,ACDC,TRUE,10.3389/fsufs.2021.734681
CJ0052,ACDC,TRUE,""
CJ0053,ACDC,TRUE,10.1017/S0014479709990457
CJ0054,ACDC,TRUE,10.3390/agriculture12050622
CJ0055,ACDC,FALSE,""
CJ0056,ACDC,TRUE,10.1051/agro:2005041
CJ0057,ACDC,TRUE,10.1007/s11104-014-2214-6
CJ0058,ACDC,TRUE,10.1017/S0014479712000051
CJ0059,ACDC,TRUE,10.4067/S0718-16202016000100015
CJ0060,ACDC,TRUE,10.1016/j.jafr.2020.100040
CJ0061,ACDC,TRUE,10.1007/s10705-021-10157-2
CJ0062,ACDC,TRUE,10.1016/j.fcr.2021.108335
CJ0063,ACDC,TRUE,10.1590/1983-21252020v33n307rc
CJ0064,ACDC,TRUE,10.1016/j.agwat.2019.03.014
CJ0065,ACDC,TRUE,10.1017/S0014479720000150
CJ0066,ACDC,TRUE,""
CJ0067,ACDC,TRUE,10.1300/J064v25n04\_06
CJ0068,ACDC,TRUE,10.3390/agronomy11091767
CJ0069,ACDC,FALSE,""
CJ0070,ACDC,FALSE,""
CJ0071,ACDC,TRUE,10.1080/00103624.2021.1892724
CJ0072,ACDC,TRUE,10.2134/agronj2012.0002
CJ0073,ACDC,TRUE,10.1007/s11104-010-0620-y
CJ0074,ACDC,TRUE,10.3390/agriculture10040117
CJ0075,ACDC,TRUE,10.3390/agronomy13010115
CJ0076,ACDC,TRUE,10.3390/agronomy13051418
CJ0077,ACDC,TRUE,10.1007/s10705-020-10104-7
CJ0078,ACDC,TRUE,10.2134/agronj2001.933556x
CJ0079,ACDC,TRUE,10.3390/agronomy9120812
CJ0080,ACDC,TRUE,10.1016/j.fcr.2011.12.013
CJ0081,ACDC,TRUE,10.3390/land11060784
CJ0082,ACDC,TRUE,10.1007/s10705-019-09969-0
CJ0083,ACDC,FALSE,""
CJ0084,ACDC,TRUE,10.1590/1983-21252016v29n207rc
CJ0085,ACDC,TRUE,10.3390/agronomy12061325
CJ0086,ACDC,TRUE,10.1590/18069657rbcs20170338
CJ0087,ACDC,TRUE,10.5433/1679-0359.2017v38n4p1749
CJ0088,ACDC,TRUE,10.1080/23311932.2020.1728084
CJ0089,ACDC,TRUE,10.1016/j.aoas.2018.10.001
CJ0090,ACDC,TRUE,10.1590/S0100-06832014000300024
CJ0091,ACDC,TRUE,10.1590/S0100-204X2017000300004
CJ0092,ACDC,FALSE,""
CJ0093,ACDC,TRUE,10.1002/agg2.20360
CJ0094,ACDC,TRUE,10.4025/actasciagron.v43i1.52045
CJ0095,ACDC,TRUE,10.1007/s10705-019-10039-8
CJ0096,ACDC,TRUE,10.1007/s40093-019-0251-0
CJ0097,ACDC,TRUE,10.2134/agronj13.0439
CJ0098,ACDC,TRUE,10.1016/j.eja.2015.02.008
CJ0099,ACDC,TRUE,10.1080/09670870903248843
CJ0100,ACDC,TRUE,10.1017/S001447970800673X
CJ0101,ACDC,TRUE,10.1590/1983-21252016v29n210rc
CJ0102,ACDC,TRUE,10.1007/s13199-022-00870-z
CJ0103,ACDC,TRUE,10.1590/1983-21252019v32n117rc
CJ0104,ACDC,TRUE,10.21608/EJSS.2019.6778.1566
CJ0105,ACDC,TRUE,10.1155/2022/1608499
CJ0106,ACDC,TRUE,10.1590/1807-1929/agriambi.v23n11p840-846
CJ0107,ACDC,TRUE,10.1071/CP12272
CJ0108,ACDC,TRUE,10.1155/2022/6987871
CJ0109,ACDC,TRUE,10.36783/18069657rbcs20210087
CJ0110,ACDC,TRUE,10.1080/23311932.2020.1805226
CJ0111,ACDC,TRUE,10.3390/agronomy10020289
CJ0112,ACDC,TRUE,10.1590/1678-4324-solo-2020190495
CJ0113,ACDC,TRUE,10.1590/18069657rbcs20160237
CJ0114,ACDC,TRUE,10.1590/1983-21252019v32n403rc
CJ0115,ACDC,TRUE,10.1007/s40093-018-0198-6
CJ0116,ACDC,FALSE,""
CJ0117,ACDC,TRUE,10.3390/microorganisms10010192
CJ0118,ACDC,TRUE,10.1080/00103624.2010.514371
CJ0119,ACDC,TRUE,10.1016/j.geoderma.2017.08.032
CJ0120,ACDC,TRUE,10.1007/s42729-020-00232-y
CJ0121,EiA,TRUE,10.1007/s40093-019-0273-7
CJ0122,EiA,TRUE,10.2174/1874331502014010036
CJ0123,EiA,TRUE,10.1155/2020/1802460
CJ0124,EiA,TRUE,10.1002/agj2.20536
CJ0125,EiA,TRUE,10.1007/s43621-022-00099-2
CJ0126,EiA,TRUE,10.3390/agronomy8040049
CJ0127,EiA,TRUE,10.3390/agronomy8020018
CJ0128,EiA,TRUE,10.14720/aas.2021.117.4.1887
CJ0129,EiA,TRUE,10.18697/ajfand.98.19670
CJ0130,EiA,TRUE,10.1016/j.agsy.2018.10.007
CJ0131,EiA,TRUE,10.1016/j.fcr.2020.108038
CJ0132,EiA,TRUE,10.1016/j.scitotenv.2021.147301
CJ0133,EiA,TRUE,10.1080/23311932.2018.1439663
CJ0134,EiA,TRUE,10.17660/ActaHortic.2019.1251.3
CJ0135,EiA,FALSE,""
CJ0136,EiA,TRUE,10.1155/2022/7186913
CJ0137,EiA,TRUE,10.3390/agronomy10060904
CJ0138,EiA,TRUE,10.3389/fsufs.2022.1036133
CJ0139,EiA,TRUE,10.1080/23311932.2019.1707038
CJ0140,EiA,TRUE,10.1017/S0014479722000096
CJ0141,EiA,TRUE,10.1016/j.chnaes.2021.12.004
CJ0142,EiA,TRUE,10.1038/s41598-021-87663-4
CJ0143,EiA,TRUE,10.1515/opag-2020-0002
CJ0144,EiA,TRUE,10.1080/01904167.2020.1771574
CJ0145,EiA,TRUE,10.29133/yyutbd.1072637
CJ0146,EiA,TRUE,Katterer T.
CJ0147,EiA,FALSE,""
CJ0148,EiA,TRUE,10.1080/23311932.2020.1724385
CJ0149,EiA,TRUE,10.2298/JAS2003213A
CJ0150.1,EiA,TRUE,10.1016/j.fcr.2021.108219
CJ0150.2,EiA,FALSE,""
CJ0151,EiA,TRUE,10.3923/ajps.2020.166.176
CJ0152,EiA,TRUE,10.1007/s00344-022-10741-y
CJ0153,EiA,TRUE,10.1515/opag-2018-0034
CJ0154,EiA,TRUE,10.1017/S0014479721000296
CJ0155,EiA,TRUE,10.12912/27197050/155024
CJ0156,EiA,TRUE,10.15666/aeer/1806_76737684
CJ0157,EiA,TRUE,10.2174/1874331501812010194
CJ0158,EiA,TRUE,10.1080/00103624.2018.1510949
CJ0159,EiA,TRUE,10.1515/opag-2022-0142
CJ0160,EiA,TRUE,10.12982/CMUJNS.2020.0019
CJ0161,EiA,TRUE,10.1007/s42106-022-00187-3
CJ0162,EiA,TRUE,10.30486/ijrowa.2021.1932327.1260
CJ0163,EiA,TRUE,10.17957/IJAB/15.1633
CJ0164,EiA,FALSE,""
CJ0165,EiA,TRUE,10.3923/ajps.2022.423.431
CJ0166,EiA,TRUE,10.3389/fsufs.2023.992644
CJ0167,EiA,TRUE,10.1016/j.heliyon.2022.e09570
CJ0168,EiA,TRUE,10.2134/agronj2017.08.0469
CJ0169,EiA,TRUE,10.3390/agronomy12061480
CJ0170,EiA,TRUE,10.3390/su122410239
CJ0171,LTE,TRUE,10.1002/agj2.21129
CJ0172,EiA,TRUE,10.24326/asphc.2019.1.6
CJ0173,EiA,TRUE,10.12911/22998993/147252
CJ0174,EiA,TRUE,10.2174/18743315-v16-e2204180
CJ0175,EiA,TRUE,10.3390/su14094907
CJ0176,EiA,FALSE,""
CJ0177,EiA,TRUE,10.1016/j.heliyon.2022.e10433
CJ0178,EiA,TRUE,10.1007/s40011-022-01384-w
CJ0179,EiA,TRUE,10.1155/2019/7804621
CJ0180,EiA,TRUE,10.1007/s12892-018-0155-0
CJ0181,EiA,TRUE,10.1080/00103624.2020.1862151
CJ0182.1,EiA,TRUE,10.1017/S0014479722000072
CJ0182.2,EiA,TRUE,10.1017/S0014479722000072
CJ0183,EiA,TRUE,10.1016/j.jafr.2022.100400
CJ0184,EiA,TRUE,10.3390/agronomy10030400
CJ0185,EiA,TRUE,10.1002/agj2.20850
CJ0186,EiA,TRUE,10.3390/w14030476
CJ0187,EiA,TRUE,10.1371/journal.pone.0250240
CJ0188,EiA,TRUE,10.3390/agronomy9100632
CJ0189,EiA,TRUE,10.3389/fsufs.2021.674926
CJ0190,EiA,TRUE,10.3390/W12040947
CJ0191,EiA,TRUE,10.1155/2022/9031999
CJ0192,EiA,TRUE,10.1007/s12892-019-0080-0
CJ0193,EiA,TRUE,10.1016/j.scienta.2020.109756
CJ0194,EiA,TRUE,10.1038/s41598-019-52360-w
CJ0195,LTE,TRUE,10.1016/j.agsy.2022.103470
CJ0196,EiA,TRUE,10.17930/AGL2022229
CJ0197,EiA,TRUE,10.3390/agriculture12091376
CJ0198,EiA,TRUE,10.1016/j.agee.2019.04.014
CJ0199,EiA,TRUE,10.18697/ajfand.95.17965
CJ0200,EiA,TRUE,10.3390/agronomy12040791
CJ0201,EiA,TRUE,10.1080/00103624.2022.2130938
CJ0202,EiA,TRUE,10.3389/fsufs.2021.616033
CJ0203,EiA,TRUE,10.1155/2020/8869098
CJ0204,EiA,TRUE,10.2478/johr-2018-0008
DM0001,ACDC,FALSE,""
DM0002,ACDC,FALSE,""
DM0003,ACDC,TRUE,10.17170/kobra-202011192213
DM0004,ACDC,TRUE,10.1016/j.cropro.2008.04.005
DM0005,ACDC,FALSE,""
DM0006,ACDC,TRUE,10.5539/jas.v7n4p80
DM0007,ACDC,FALSE,""
DM0008,ACDC,TRUE,10.1016/j.agee.2006.05.011
DM0009,ACDC,FALSE,""
DM0010,ACDC,FALSE,""
DM0011,ACDC,TRUE,10.1016/j.fcr.2023.108924
DM0012,ACDC,FALSE,""
DM0013,ACDC,TRUE,10.1016/j.agsy.2017.04.008
DM0014,ACDC,TRUE,10.1016/j.heliyon.2021.e07908
DM0016,ACDC,TRUE,10.1002/csc2.20862
DM0017,ACDC,FALSE,""
DM0018,ACDC,TRUE,10.1007/s10457-021-00635-5
DM0019,ACDC,FALSE,""
DM0020,ACDC,TRUE,10.1017/S1742170520000137
DM0021,ACDC,TRUE,10.1590/S0100-204X2013000600013
DM0022,ACDC,FALSE,""
DM0023,ACDC,TRUE,10.1016/j.still.2012.03.011
DM0024,ACDC,TRUE,10.1016/j.agee.2011.11.018
DM0025,ACDC,TRUE,""
DM0026,ACDC,TRUE,10.1016/j.scienta.2015.01.007
DM0027,ACDC,TRUE,10.1007/s10705-008-9234-7
DM0028,ACDC,TRUE,10.1590/0100-83582015000200010
DM0029,ACDC,FALSE,""
HK0002,LTE,TRUE,10.5897/AJAR10.711
HK0106,LTE,TRUE,10.1016/0167-1987(84)90033-3
HK0111,LTE,TRUE,10.1300/J064v22n02_02
HK0157,LTE,TRUE,10.1016/j.soilbio.2004.04.031
HK0161.1,LTE,TRUE,10.1007/s10705-008-9174-2
HK0161.2,LTE,TRUE,10.1007/s10705-008-9174-2
HK0166,LTE,TRUE,""
HK0202.1,LTE,TRUE,10.1023/B:;AGFO.0000005227.69260.f9
HK0209,LTE,TRUE,10.1016/j.agee.2006.03.012
HK0213.2,LTE,FALSE,""
HK0213.4,LTE,FALSE,""
HK0224,LTE,FALSE,""
HK0225,LTE,TRUE,10.1007/s10705-012-9492-2
HK0227,LTE,TRUE,10.1080/01448765.1991.9754573
HK0240,LTE,TRUE,10.1080/03031853.2009.9523827
HK0242,LTE,TRUE,10.1007/bf00705224
HK0253,LTE,TRUE,10.1016/j.still.2012.09.002
HK0255.2,LTE,TRUE,10.1080/14735903.2012.703894
HK0258.1,LTE,TRUE,10.1007/bf00054150
HK0258.2,LTE,TRUE,10.1007/bf00054150
HK0258.3,LTE,TRUE,10.1007/bf00054150
HK0261,LTE,TRUE,10.2134/agronj2012.0063
HK0268,LTE,TRUE,10.1016/j.still.2006.08.006
HK0269,LTE,TRUE,10.1111/j.1475-2743.2012.00394.x
HK0274,LTE,TRUE,10.1081/css-120002752
HK0294,LTE,TRUE,10.4314/wsa.v38i2.8
HK0306.1,LTE,TRUE,https://repository.cimmyt.org/bitstream/handle/10883/1498/90104.pdf?sequence=1&isAllowed=y
HK0306.2,LTE,TRUE,https://repository.cimmyt.org/bitstream/handle/10883/1498/90104.pdf?sequence=1&isAllowed=y
HK0313,LTE,TRUE,10.1111/j.1475-2743.2012.00406.x
JO0001,ACDC,TRUE,10.1111/wbm.12198
JO0002,ACDC,TRUE,10.1016/j.jafr.2022.100301
JO0003,ACDC,TRUE,""
JO0004,ACDC,TRUE,""
JO0005,ACDC,TRUE,10.3389/fsufs.2021.741177
JO0006,ACDC,FALSE,""
JO0007,ACDC,TRUE,10.1016/j.heliyon.2021.e07156
JO0008,ACDC,TRUE,10.1017/S001447972000040X
JO0009,ACDC,TRUE,10.1007/s40093-017-0192-4
JO0010,ACDC,TRUE,10.1016/j.heliyon.2019.e02632
JO0011,ACDC,TRUE,10.1016/j.eja.2006.05.002
JO0012,ACDC,FALSE,""
JO0013,ACDC,TRUE,10.1007/s10457-023-00807-5
JO0014,ACDC,TRUE,10.3390/ su132112328
JO0015.1,ACDC,TRUE,10.3389/fnut.2021.804663
JO0015.2,ACDC,TRUE,10.3389/fnut.2021.804663
JO0016.1,ACDC,TRUE,10.1017/S0014479707005029
JO0016.2,ACDC,TRUE,10.1017/S0014479707005029
JO0017,ACDC,TRUE,10.3390/ su141912385
JO0018,ACDC,TRUE,10.1590/1983-21252018v31n203rc
JO0019,ACDC,TRUE,10.17129/botsci.2640
JO0020,ACDC,TRUE,10.1016/j.agrformet.2018.03.026
JO0021,ACDC,TRUE,10.2134/agronj14.0246
JO0022,ACDC,TRUE,10.13102/sociobiology.v65i2.1397
JO0023,ACDC,TRUE,10.1080/21683565.2013.763888
JO0024,ACDC,TRUE,10.1016/j.agsy.2019.01.004
JO0025,ACDC,TRUE,10.3389/fsufs.2022.889830
JO0026,ACDC,TRUE,10.1007/s13593-020-0612-0
JO0027,ACDC,TRUE,10.1007/s10457-018-0304-9
