B.Code,value,table,field,issue,parent_table,tabname,master_table,IN.Level.Name,R.Level.Name,P.Product,Out.Code.Joined,issue_addressed,addressed_by_whom,notes
JS0218.2,1987.1/1988.1/1989.1/1987.2/1988.2/1989.2,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
JS0248,,,,,,,,Hanfets (barley)  - DER+***Hanfets (Wheat)  - DER+,DER+,Wheat-Barley,Crop Yield..t/ha,FALSE,"",""
JS0248,,,,,,,,Hanfets (barley)  - TER+***Hanfets (Wheat)  - TER+,TER+,Wheat-Barley,Crop Yield..t/ha,FALSE,"",""
JS0248,,,,,,,,Hanfets (barley) - Conventional***Hanfets (Wheat) - Conventional,CT,Wheat-Barley,Crop Yield..t/ha,FALSE,"",""
JS0248,Hanfets (barley)  - DER+__Hanfets (Wheat)  - DER+/Hanfets (barley)  - TER+__Hanfets (Wheat)  - TER+/Hanfets (barley) - Conventional__Hanfets (Wheat) - Conventional,,IN.Level.Name,Crop yield is associated with a intercropping outcome,,Data.Out,,,,,,FALSE,"",""
JS0283,1982..1983..1984..1985..1986..1987..1988..1989..1990..1991/1991,Data.Out,Time,"Multiple experimental durations calculate for this time, might mean differences between treatment, intercrop and rotation experimental start years.",,,,,,,,FALSE,"",""
JS0334.2,2025-06-21/2025-10-11/2025-10-18/2025-10-25,Data.Out,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,,,,,,,,FALSE,"",""
LM0008,M-NF/M-VB,Rot.Out vs MT.Out,R.Level.Name,Mismatch in residue management between time seq and treatments tab (often treatments tab indicates residue management but time seq tab states Unspecified?).,,,,,,,,FALSE,"",""
LM0061,1981.1/1982.1/1983.1,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
LM0097,CN-CN/SG-SG/GN-GN,Data.Out,R.Level.Name,"Time sequence does not contain a rotation code, if the treatment name suggests a rotation should be present then check, could be raw data or ingestion issue.",,,,,,,,FALSE,"",""
LM0148,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
LM0165,2006 LR/2006 LR,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
LM0173,1989.2/1990.2/1991.2,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
LM0188,Control,Data.Out,T.Name,Mismatch in field value between parent and child tables.,MT.Out,,,,,,,FALSE,"",""
LM0188,NA,Data.Out,IN.Level.Name/T.Name,Compulsory Product field is blank.,,,,,,,,FALSE,"",""
LM0265,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
NM0004,Improved bean lyamungu 90 (Intercrop)...Local bean Mkanamna (Intercrop)***Maize (Intercrop),Data.Out/Int.Out,IN.Level.Name,Non-match between intercrop in data entry vs intercropping tab (make sure practice is specified in Int tab).,,,,,,,,FALSE,"",""
NM0012,2008/2004/2006,Data.Out,Time,"Multiple experimental durations calculate for this time, might mean differences between treatment, intercrop and rotation experimental start years.",,,,,,,,FALSE,"",""
NM0018,2020 S3,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
NM0030,Land Equivalent Ratio,Data.Out,Out.Code.Joined,Outcome derived from T vs C (e.g. LER) does not have comparison specified.,,,,,,,,FALSE,"",""
NM0035,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
NM0041,12NS,Data.Out,R.Level.Name,"Time sequence does not contain a rotation code, if the treatment name suggests a rotation should be present then check, could be raw data or ingestion issue.",,,,,,,,FALSE,"",""
NM0042, Mount Isabel/CENA farms,Data.Out,Site.ID,Mismatch in field value between parent and child tables.,Site.Out,,,,,,,FALSE,"",""
NM0046,2017 Winter,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
NM0046,Phosphorus Agronomic Efficiency..%/Potassium Agronomic Efficiency..%,Data.Out,Out.Code.Joined,Outcome derived from T vs C (e.g. LER) does not have comparison specified.,,,,,,,,FALSE,"",""
NM0075,NA,Data.Out,IN.Level.Name/T.Name,Compulsory Product field is blank.,,,,,,,,FALSE,"",""
NM0075,Natural or Bare Fallow,Data.Out,T.Name,Mismatch in field value between parent and child tables.,MT.Out,,,,,,,FALSE,"",""
NM0087,Tap Control/Tap Biochar/Tap NAP/Tap NAP/Biochar,Data.Out,R.Level.Name,"Time sequence does not contain a rotation code, if the treatment name suggests a rotation should be present then check, could be raw data or ingestion issue.",,,,,,,,FALSE,"",""
NM0089,M_0..H_0,Data.Out,ED.Comparison1,Mismatch in field value between parent and child tables.,MT.Out,,,,,,,FALSE,"",""
NM0100,Nitrogen Agronomic Efficiency..kg yield/kg/Phosphorus Agronomic Efficiency..kg yield/kg/Potassium Agronomic Efficiency..kg yield/kg,Data.Out,Out.Code.Joined,Outcome derived from T vs C (e.g. LER) does not have comparison specified.,,,,,,,,FALSE,"",""
NM0117,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
NN0090,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
NN0162.2,Sugar Cane - Cane,Data.Out,P.Product-ED.Product.Comp,"Weird product + component combination, given outcome.",,,,,,,,FALSE,"",""
NN0168,Crop Yield..t/ha,,Out.Code.Joined,Data location is missing,,Data.Out,,,,,,FALSE,"",""
NN0168,NA,Data.Out,IN.Level.Name/T.Name,Compulsory Product field is blank.,,,,,,,,FALSE,"",""
NN0168,T3>>T39...T6>>T42...T3>>T39...T3>>T39...T6>>T42...T3>>T39...T3>>T39...T3>>T39...T6>>T42...T3>>T39...T3>>T39...T6>>T42,Data.Out,T.Name,Mismatch in field value between parent and child tables.,MT.Out,,,,,,,FALSE,"",""
NN0184.1,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
NN0184.2,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
NN0184.3,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
NN0248,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
NN0261,"ICRISAT, Sadore",Data.Out,Site.ID,Mismatch in field value between parent and child tables.,Site.Out,,,,,,,FALSE,"",""
NN0347,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
NN0411,Mareko..Mito,Data.Out,Site.ID,Mismatch in field value between parent and child tables.,Site.Out,,,,,,,FALSE,"",""
NN0412,Hairy Vetch - Stalks+Leaves,Data.Out,P.Product-ED.Product.Comp,"Weird product + component combination, given outcome.",,,,,,,,FALSE,"",""
NN0427,Congo Grass,Data.Out,P.Product,Biomass crops that have a Crop Residue Yield outcome (should be Biomass Yield?).,,,,,,,,FALSE,"",""
NN0427,Land Equivalent Ratio..NA..Total Biomass/Land Equivalent Ratio..NA..Grain Yield and Total Biomass,Data.Out,Out.Code.Joined,Outcome derived from T vs C (e.g. LER) does not have comparison specified.,,,,,,,,FALSE,"",""
NN0427,MP1 (Maize)***MP1 (PP) 2008/MB 1 (Brachiaria)***MB 1 (Maize)/MP1 (Maize)***MP1 (PP) 2009,Data.Out,IN.Level.Name/T.Name,Compulsory Product field is blank.,,,,,,,,FALSE,"",""
NN0470,99999.2,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
NN0474,K-0 (Arsi)..K-0 (Halaba)/N-0 (Arsi)..N-0 (Halaba)/P-0 (Arsi)..P-0 (Halaba),Data.Out,ED.Comparison1,Mismatch in field value between parent and child tables.,MT.Out,,,,,,,FALSE,"",""
NN0476,2003.1/2003.2,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
NN0488,2019.1,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
NN0488,Kangutu Primary School,Data.Out,Site.ID,Mismatch in field value between parent and child tables.,Site.Out,,,,,,,FALSE,"",""
NN0499,South Achefer,Data.Out,Site.ID,Mismatch in field value between parent and child tables.,Site.Out,,,,,,,FALSE,"",""
NN0509,2018.2,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
NN0514.1,99999.2/99999,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
NN0524,NA,Data.Out,IN.Level.Name/T.Name,Compulsory Product field is blank.,,,,,,,,FALSE,"",""
NN0524,NT + residue + Maize mono,Data.Out,T.Name,Mismatch in field value between parent and child tables.,MT.Out,,,,,,,FALSE,"",""
NN0525,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
NN0529,2020  season 1,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
NN0531,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
SA0022,CONTROL/100NPK/150NPK/100NPK+Zn/100NPK+FYM/100NPK+Zn+B/100NPK+Zn+S,Data.Out,R.Level.Name,"Time sequence does not contain a rotation code, if the treatment name suggests a rotation should be present then check, could be raw data or ingestion issue.",,,,,,,,FALSE,"",""
SA0023,100NPK/150NPK/100NPK+Zn/100NPK+FYM/100NPK+Zn+B/100NPK+Zn+S/CONTROL,Data.Out,R.Level.Name,"Time sequence does not contain a rotation code, if the treatment name suggests a rotation should be present then check, could be raw data or ingestion issue.",,,,,,,,FALSE,"",""
SA0035,Year 5 Winter,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
SA0038,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
SA0052,2010-R/2011-R,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
SA0059.1,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
SA0059.2,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
SA0059.3,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
SA0059.3,1991 Kharif/1992 Rabi,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
SA0062,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
SP0003,2022,Data.Out,Time,"Multiple experimental durations calculate for this time, might mean differences between treatment, intercrop and rotation experimental start years.",,,,,,,,FALSE,"",""
SP0008,TEX2-CA,Data.Out,R.Level.Name,"Time sequence does not contain a rotation code, if the treatment name suggests a rotation should be present then check, could be raw data or ingestion issue.",,,,,,,,FALSE,"",""
SP0010,2013S,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
SP0016,"MM, CT, R",Data.Out,R.Level.Name,"Time sequence does not contain a rotation code, if the treatment name suggests a rotation should be present then check, could be raw data or ingestion issue.",,,,,,,,FALSE,"",""
SP0022,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
SP0024,2007/08,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
SP0037,0N-WAzo-LM...0N-WAzo-SI/100N-WAzo-LM...100N-WAzo-SI/150N-WAzo-LM...150N-WAzo-SI/200N-WAzo-LM...200N-WAzo-SI/50N-WAzo-LM...50N-WAzo-SI,Data.Out,T.Name,Mismatch in field value between parent and child tables.,MT.Out,,,,,,,FALSE,"",""
SP0037,NA,Data.Out,IN.Level.Name/T.Name,Compulsory Product field is blank.,,,,,,,,FALSE,"",""
SP0038,2004/05,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
