B.Code,value,table,field,issue,variable,Site.ID,filename,issue_addressed,addressed_by_whom,notes
CJ0187,Nassoulou village_M,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0187,Poa village,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0187,Ramongo village,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0200,"INRA, Foum el Oued",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
HK0111,"IITA, Ibadan",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
HK0157,"IITA, Ibadan",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
HK0294,"Domboshawa DCT/IAE, Harare",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
HK0294,Soil.AP/Soil.SOC/Soil.TN,Soil.Out,variable,"Amount is present, but unit is missing for value.",,,,FALSE,"",""
HK0306.1,Murombo-Chinyika/Mutsindikwa-Chinyika/E-Chinyanga-Chiduku/S-Chinyanga-Chiduku/Mudange-Chinyika/Singano-Chiduku,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
HK0306.2,Murombo-Chinyika/Mutsindikwa-Chinyika/E-Chinyanga-Chiduku/S-Chinyanga-Chiduku,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
JO0014,Soil.BD,Soil.Out,variable,"Amount is present, but unit is missing for value.",,,,FALSE,"",""
JO0020,Vicosa,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
JO0041,Domboshawa Training Centre,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
JO0042,Soil.TP,Soil.Out,variable,"Amount is present, but unit is missing for value.",,,,FALSE,"",""
JO0047,Picos-Semi Arid Brazil,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
JO0073,"University of Nigeria, Nsukka",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
JO0078,Soil.AP,Soil.Out,variable,"Amount is present, but unit is missing for value.",,,,FALSE,"",""
JO0079,Soil.SOM,Soil.Out,variable,"Amount is present, but unit is missing for value.",,,,FALSE,"",""
JO0084,"Experimental Station of the Embrapa Coastal Tablelands, Umbau ́ba",Soil.Out,Site.ID,A Site.ID used does not match the Site tab.,,,,FALSE,"",""
JO0118,"FUNAAB, Abeokuta",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
JO0142,Ido,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
JO0146,CSIR-CRI-Aiyinasi Ellembelle/CSIR-CRI-Ehiamadwen Jomoro,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
JO0149,Amibara Minch,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
JO0158,Wangige,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
JO0185,Soil.CEC,Soil.Out,variable,"Amount is present, but unit is missing for value.",,,,FALSE,"",""
JO0210,Gashora,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
JO0210,Nyakiliba,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
JO0216,"Botucatu, Sao Paulo",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
LM0078.1,"IITA, Ibadan",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
LM0078.2,"IITA, Ibadan",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
LM0321,"IITA, Ibadan",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
NM0002,Soil.EC/Soil.SOC/Soil.TN,Soil.Out,variable,"Amount is present, but unit is missing for value.",,,,FALSE,"",""
NM0059,Regina Farm,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
NM0079,"IAPAR, Parana",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
NM0079,Soil.SOC,Soil.Out,variable,"Amount is present, but unit is missing for value.",,,,FALSE,"",""
NM0115,Soil.NO3,Soil.Out,variable,"Amount is present, but unit is missing for value.",,,,FALSE,"",""
NN0128.2,"IITA, Onne",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
NN0415,"JKUAT, Thika",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
NN0418,Chinguluwe Extension Planning Area ..Tembwe Extension Planning Area/Manyamula Extension Planning Area ..Zombwe Extension Planning Area,Soil.Out,Site.ID,A Site.ID used does not match the Site tab.,,,,FALSE,"",""
NN0428,Soil.AP,Soil.Out,variable,"Amount is present, but unit is missing for value.",,,,FALSE,"",""
NN0433,Liberdade farm,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
NN0488,Soil.AP/Soil.CEC/Soil.TP,Soil.Out,variable,"Amount is present, but unit is missing for value.",,,,FALSE,"",""
NN0510,El-Kharga Oasis,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
NN0512,University of Zimbabwe Farm,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
NN0512,Zengeza,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
NN0529,Soil.FC,Soil.Out,variable,"Amount is present, but unit is missing for value.",,,,FALSE,"",""
NN0533,Bako/Adami Tullu/Hawassa,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
SA0004,Vivekananda Institute of Hill Agriculture,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
SA0010,"Dryland Research Station, Sardar Krushi Nagar, Gujarat",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
SA0040,"Indian Institute of Farming Systems Research (IIFSR), Modipuram",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
SA0041,"Banaras Hindu University farm (BHU), Varanasi",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
SA0054.2,Sabour-MGP,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
SA0065,"Agricultural Research Station, University of Agricultural Sciences, GKVK campus, Bengaluru, Karnataka.",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
SP0010,Huamantla II (Tlaxcala)/Cajeme (Sonora),Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
SP0017,"São Paulo State University (Unesp), School of Agricultural and Veterinarian Sciences, Jaboticabal, São Paulo",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
SP0034,Soil.BD,Soil.Out,variable,"Amount is present, but unit is missing for value.",,,,FALSE,"",""
SP0041,Presidente Bernardes,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
SP0060,Busa/Wenchi,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
