B.Code,T.Name,IN.Level.Name,Time,Missing,R.Level.Name,table,issue,issue_addressed,addressed_by_whom,notes
CJ0097,NNT,NA,2008..2009,2008/2009,NNT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,NNT+N,NA,2008..2009,2008/2009,NNT+N,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
HK0157,Control no tree CP,NA,1991.1..1992.1..1993.1..1994.1..1995.1..1996.1..1997.1..1998.1..1999.1..2000.1..2001.1..2002.1..1986.2..1987.2..1988.2..1989.2..1990.2..1991.2..1992.2..1993.2..1994.2..1995.2..1996.2..1997.2..1998.2..1999.2..2000.2..2001.3,2001.3,Control no tree NPK,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
HK0157,alley L CP,alley L CP__Leucaena leucocephala ,1991.1..1992.1..1993.1..1994.1..1995.1..1996.1..1997.1..1998.1..1999.1..2000.1..2001.1..2002.1..1986.2..1987.2..1988.2..1989.2..1990.2..1991.2..1992.2..1993.2..1994.2..1995.2..1996.2..1997.2..1998.2..1999.2..2000.2..2001.4,2001.4,alley L,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
HK0157,alley L CP,alley L CP__Leucaena leucocephala ,1991.1..1992.1..1993.1..1994.1..1995.1..1996.1..1997.1..1998.1..1999.1..2000.1..2001.1..2002.1..1986.2..1987.2..1988.2..1989.2..1990.2..1991.2..1992.2..1993.2..1994.2..1995.2..1996.2..1997.2..1998.2..1999.2..2000.2..2001.5,2001.5,alley L +NPK,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
HK0157,alley S CP,alley S CP__Senna siamea ,1991.1..1992.1..1993.1..1994.1..1995.1..1996.1..1997.1..1998.1..1999.1..2000.1..2001.1..2002.1..1986.2..1987.2..1988.2..1989.2..1990.2..1991.2..1992.2..1993.2..1994.2..1995.2..1996.2..1997.2..1998.2..1999.2..2000.2..2001.6,2001.6,alley S,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
HK0157,alley S CP,alley S CP__Senna siamea ,1991.1..1992.1..1993.1..1994.1..1995.1..1996.1..1997.1..1998.1..1999.1..2000.1..2001.1..2002.1..1986.2..1987.2..1988.2..1989.2..1990.2..1991.2..1992.2..1993.2..1994.2..1995.2..1996.2..1997.2..1998.2..1999.2..2000.2..2001.7,2001.7,alley S +NPK,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0110,Gli Res-INT-S+Fert,Gli Res-INT-S+Fert__Gliricidia,2016..2017,2016,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0110,Gli Res-INT-S+Without,Gli Res-INT-S+Without__Gliricidia,2016..2017,2016,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0110,Lu Res-INT-S+Fert,Leucaena__Lu Res-INT-S+Fert,2016..2017,2016,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0110,Lu Res-INT-S+Without,Leucaena__Lu Res-INT-S+Without,2016..2017,2016,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0110,SOLE-S+Without/SOLE-S+Fert,NA,2016..2017,2016,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0136,S-MZ+FERT,NA,2014..2,2/2014,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0139,CA_MZ-ROT,NA,    1997-LS,    1997-LS,CA_MZ_VB+TK_F/BU_MZ_VB+TK_F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0139,CA_MZ-ROT,NA,    1998-LS,    1998-LS,CA_MZ_VB+TK_F/BU_MZ_VB+TK_F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0139,CA_MZ-ROT,NA,    1999-LS,    1999-LS,CA_MZ_VB+TK_F/BU_MZ_VB+TK_F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0139,CA_MZ-ROT,NA,    2000-LS,    2000-LS,CA_MZ_VB+TK_F/BU_MZ_VB+TK_F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0139,CA_MZ-ROT,NA,    2001-LS,    2001-LS,CA_MZ_VB+TK_F/BU_MZ_VB+TK_F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0139,CA_MZ-ROT,NA,    2002-LS,    2002-LS,CA_MZ_VB+TK_F/BU_MZ_VB+TK_F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0139,CA_MZ-ROT,NA,    2003-LS,    2003-LS,CA_MZ_VB+TK_F/BU_MZ_VB+TK_F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0139,CA_MZ-ROT,NA,    2004-LS,    2004-LS,CA_MZ_VB+TK_F/BU_MZ_VB+TK_F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0139,CA_MZ-ROT,NA,    2005-LS,    2005-LS,CA_MZ_VB+TK_F/BU_MZ_VB+TK_F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0139,CA_MZ-ROT,NA,    2006-LS,    2006-LS,CA_MZ_VB+TK_F/BU_MZ_VB+TK_F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0139,CA_MZ-ROT,NA,    2007-LS,    2007-LS,CA_MZ_VB+TK_F/BU_MZ_VB+TK_F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0139,CA_MZ-ROT,NA,    2008-LS,    2008-LS,CA_MZ_VB+TK_F/BU_MZ_VB+TK_F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0139,CA_MZ-ROT,NA,    2009-LS,    2009-LS,CA_MZ_VB+TK_F/BU_MZ_VB+TK_F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0139,CA_MZ-ROT,NA,    2010-LS,    2010-LS,CA_MZ_VB+TK_F/BU_MZ_VB+TK_F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0179,F0-JAYA..F0-SAHEL108/F1-JAYA..F1-SAHEL108/F2-JAYA..F2-SAHEL108/F3-JAYA..F3-SAHEL108/F4-JAYA..F4-SAHEL108/F5-JAYA..F5-SAHEL108,NA,1991-WS,1991-WS,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0179,F0-JAYA..F0-SAHEL108/F1-JAYA..F1-SAHEL108/F2-JAYA..F2-SAHEL108/F3-JAYA..F3-SAHEL108/F4-JAYA..F4-SAHEL108/F5-JAYA..F5-SAHEL108,NA,1997-WS,1997-WS,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
