B.Code,value,table,field,issue,parent_table,issue_addressed,addressed_by_whom,notes
AC0062,S int Avenger..S int Enforcer..S int Titan..S int NS5511,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
AC0088,Rainfed Coffee int..Irrigated Coffee int,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
AC0147,CT Black oats Min..CT Black oats Org/CT Oats Min..CT Oats Org/NT Black oats Min..NT Black oats Org/NT Oats Min..NT Oats Org/RT Black oats Min..RT Black oats Org/RT Oats Min..RT Oats Org,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
AC0147,CT Vicia sativa Min..CT Vicia sativa Org/CT Wheat Min..CT Wheat Org/NT Vicia sativa Min..NT Vicia sativa Org/NT Wheat Min..NT Wheat Org/RT Vicia sativa Min..RT Vicia sativa Org/RT Wheat Min..RT Wheat Org,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
AC0148,Maize int 0N..Maize int 40N..Maize int 80N..Maize int 120N,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
AC0168,CC F0..CC F1..CCF2..CCF3/MC PM F1..MC PM F2..MC PM F3..MC PM F0/MM F0..MM F1..MM F2..MM F3,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
AC0168,NA/MC Cp F2..MC Cp F3..MC Cp F1..MC Cp F0,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
AC0169,CA Maize int..CA Maize int + Manure,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
CJ0006,Int Maize 0..Int Maize 100..Int Maize 200..Int Maize 300,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
CJ0037,Yi-R D1..Yi-R-F D1..Yi-R D2..Yi-R-F D2..Yi-R D3..Yi-R-F D3..Yi-R D4..Yi-R-F D4..Yi-R D5..Yi-R-F D5..Yi-R D6..Yi-R-F D6/Yi-flat D1..Yi-R D1..Yi-flat D2..Yi-R D2..Yi-flat D3..Yi-R D3..Yi-flat D4..Yi-R D4..Yi-flat D5..Yi-R D5..Yi-flat D6..Yi-R D6/Yi-flat D1..Yi-flat-F D1..Yi-flat D2..Yi-flat-F D2..Yi-flat D3..Yi-flat-F D3..Yi-flat D4..Yi-flat-F D4..Yi-flat D5..Yi-flat-F D5..Yi-flat D6..Yi-flat-F D6/Yi-flat-F D1..Yi-R-F D1..Yi-flat-F D2..Yi-R-F D2..Yi-flat-F D3..Yi-R-F D3..Yi-flat-F D4..Yi-R-F D4..Yi-flat-F D5..Yi-R-F D5..Yi-flat-F D6..Yi-R-F D6,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
CJ0038,B.A..B.A20k..B.A40k..B.A26P..B.A52P..B.A26P20K..B.A52P40K/B.A..B.Ar..B.A20k..B.Ar20k..B.A40k..B.Ar40k..B.A26P..B.Ar26P..B.A52P..B.Ar52P..B.A26P20K..B.Ar26P20K..B.A52P40K..B.Ar52P40K/B.A..B.B..B.B20k..B.B40k..B.B26P..B.B52P..B.B26P20K..B.B52P40K/B.B..B.Br..B.B20k..B.Br20k..B.B40k..B.Br40k..B.B26P..B.Br26P..B.B52P..B.Br52P..B.B26P20K..B.Br26P20K..B.B52P40K..B.Br52P40K,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
CJ0038,M..Mr..M20k..Mr20k..M40k..Mr40k..M26P..Mr26P..M52P..Mr52P..M26P20K..Mr26P20K..M52P40K..Mr52P40K,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
CJ0064,D15RML..DoRML,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
CJ0064,lab_D15..Lab_D0,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
CJ0199,Mams H913_NP_DAP..Mams H913_NP_Mijingu/Mams H913_NP_DAP..Meru H513_NP_DAP..Meru H515_NP_DAP..NATA H105_NP_DAP..SC627_NP_DAP/Mams H913_NP_Mijingu..Meru H513_NP_Mijingu..Meru H515_NP_Mijingu..NATA H105_NP_Mijingu..SC627_NP_Mijingu/Mams H913_control-1..Meru H513_control-1..Meru H515_control-1..NATA H105_control-1..SC627_control-1/Meru H513_NP_DAP..Meru H513_NP_Mijingu/Meru H515_NP_DAP..Meru H515_NP_Mijingu/NATA H105_NP_DAP..NATA H105_NP_Mijingu/SC627_NP_DAP..SC627_NP_Mijingu,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
HK0161.2,(Ibadan)- Maize + Aeschynomene histrix_2000,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
HK0161.2,(Ibadan)- Maize + Aeschynomene histrix_2000/(Ibadan)- Maize + Aeschynomene histrix_2002/(Ibadan)- Maize + P.phaseoloides_2000/(Ibadan)- Maize + P.phaseoloides_2002/(Ibadan)- Maize + Stylosanthes guianensis_2000/(Ibadan)- Maize + Stylosanthes guianensis_2002/(Zaria)- Maize + Aeschynomene histrix_2000/(Zaria)- Maize + Aeschynomene histrix_2002/(Zaria)- Maize + P.phaseoloides_2000/(Zaria)- Maize + P.phaseoloides_2002/(Zaria)- Maize + Stylosanthes guianensis_2000/(Zaria)- Maize + Stylosanthes guianensis_2002,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
HK0161.2,(Ibadan)- Maize + Aeschynomene histrix_2002,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
HK0161.2,(Ibadan)- Maize + P.phaseoloides_2000,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
HK0161.2,(Ibadan)- Maize + P.phaseoloides_2002,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
HK0161.2,(Ibadan)- Maize + Stylosanthes guianensis_2000,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
HK0161.2,(Ibadan)- Maize + Stylosanthes guianensis_2002,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
HK0161.2,(Zaria)- Maize + Aeschynomene histrix_2000,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
HK0161.2,(Zaria)- Maize + Aeschynomene histrix_2002,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
HK0161.2,(Zaria)- Maize + P.phaseoloides_2000,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
HK0161.2,(Zaria)- Maize + P.phaseoloides_2002,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
HK0161.2,(Zaria)- Maize + Stylosanthes guianensis_2000,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
HK0161.2,(Zaria)- Maize + Stylosanthes guianensis_2002,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
HK0209,Intercrop Maize No fert ..Intercrop Maize 50% fert..Intercrop Maize 25% fert,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
HK0242,INT-M-0N..INT-M-60N..INT-M-120N,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
HK0258.1,INT-M-0N..INT-M-60N..INT-M-120N,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
JO0023,Maize Int VERM..Maize Int GOAT M..Maize Int NPK,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
JO0027,Albida_INT-unpruned..Albida_INT-Pruned-50%..Albida_INT-Pruned-100%,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
JO0028,CA-M-INT+F..CT-M-INT+F..CA-M-INT-F..CT-M-INT-F,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
JO0028,CA.CP-INT+F...CT.CP-INT+F...CA.CP-INT-F...CT.CP-INT-F,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
JO0028,CA.CP-INT+F..CT.CP-INT+F..CA.CP-INT-F..CT.CP-INT-F/CA.GN-INT+F..CT.GN-INT+F..CA.GN-INT-F..CT.GN-INT-F/CA.PP-INT+F..CT.PP-INT+F..CA.PP-INT-F..CT.PP-INT-F,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
JO0028,CA.GN-INT+F...CT.GN-INT+F...CA.GN-INT-F...CT.GN-INT-F,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
JO0028,CA.PP-INT+F...CT.PP-INT+F...CA.PP-INT-F...CT.PP-INT-F,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
JO0073,Int-ICPL 87091..Int-ICPL 161..Int-ICPL 85063..Int-ICP 7120..Int-ICPL 87119..Int-Nsukka,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
JO0076,CP-CM-0_MONO...CP-CM-31_MONO...CP-CM-62_MONO,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
JO0076,CP-CM-0_MONO..CP-CM-31_MONO..CP-CM-62_MONO,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
JO0076,PM-CM-0_INT..PM-CM-31_INT..PM-CM-62_INT,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
JO0090,A53-Bf..B53-Gf..C53-Mf..D53-Tf..E53-Af..F53-Vf..G53-Sf..H53-Mf..A67-Bf..B67-Gf..C67-Mf..D67-Tf..E67-Af..F67-Vf..F67-Sf..G67-Mf/A53-Bh..B53-Gh..C53-Mh..D53-Th..E53-Ah..F53-Vh..G53-Sh..H53-Mh..A67-Bh..B67-Gh..C67-Mh..D67-Th..E67-Ah..E67-Vh..F67-Sh..G67-Mh/M-P53-INT-MZ-0 Fz..M-P67-INT-MZ-0 Fz,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
JO0100,NTNG (V)...NTG (V,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
JO0100,NTNG (V)..NTG (V/NTNG (V)..NTG (V)..HHNG (V)..HHG (V),Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
JO0100,NTOP50NG V..NTOP50G V..NTOP75NG V..NTOP75G V..NTH50NG V..NTH50G V..NTH75NG V..NTH75G V..HHOP50NG V..HHOP50G V..HHOP75NG V..HHOP75G V..HHH50NG V..HHH50G V..HHH75NG V..HHH75G V/NTOP50NG V..NTOP75NG V..NTH50NG V..NTH75NG V,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
JO0128,20P-INT-GN..40P-INT-GN..0P-INT-GN/20P-INT-SB..40P-INT-SB..0P-INT-SB,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
JO0128,20P-INT-SP..40P-INT-SP..0P-INT-SP,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
JO0128,NA/20P-INT-SB..40P-INT-SB..0P-INT-SB,Int.Out,IN.Comp3,Non-match btw intercropping and make treatment for name in IN.Comp3 column.,MT.Out,FALSE,"",""
JO0187,HC-F0-v1..HC-F0-v2..HC-F0-v3/HC-F1-v1..HC-F1-v2..HC-F1-v3/HC-F2-v1..HC-F2-v2..HC-F2-v3/HM-F0-v1..HM-F0-v2..HM-F0-v3/LM-F0-v1..LM-F0-v2..LM-F0-v3,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
JO0187,HC-F0-v1..HC-F0-v2..HC-F0-v3/HM-F1-v1..HM-F1-v2..HM-F1-v3/HM-F2-v1..HM-F2-v2..HM-F2-v3/LC-F0-v1..LC-F0-v2..LC-F0-v3/LM-F0-v1..LM-F0-v2..LM-F0-v3/LM-F1-v1..LM-F1-v2..LM-F1-v3/LM-F2-v1..LM-F2-v2..LM-F2-v3,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
JS0433,A-INT-2..A-INT-4/D-INT-2..D-INT-4/G-INT-2..G-INT4/L-INT-2..L-INT-4,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
LM0168,2A..2B..2C..2D/4A..4B..4C..4D/8A..8B..8C..8D,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
LM0171,2A..2B..2C..2D/4A..4B..4C..4D/8A..8B..8C..8D,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
LM0173,LL 4m inter..LL 4m block/LL 5m inter..LL 5m block/LL 6.7m inter..LL 6.7m block/SS 4m inter..SS 4m block/SS 5m inter..SS 5m block/SS 6.7m inter..SS 6.7m block,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
NM0003,Abontem..Omankwa,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
NM0013,GN Int Nsinjiro..GN Int JL24,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
NN0069,C-INT-AT..C-INT-AT>>C-INT-AT+R..C-INT-AT>>C-INT-AT+R>>C-INT-AT+N+R..C-INT-AT>>C-INT-AT+N/C-INT-HC..C-INT-HC>>C-INT-HC+R..C-INT-HC>>C-INT-HC+R>>C-INT-HC+N+R..C-INT-HC>>C-INT-HC+N/C-INT-TT..C-INT-TT>>C-INT-TT+R..C-INT-TT>>C-INT-TT+R>>C-INT-TT+N+R..C-INT-TT>>C-INT-TT+N,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
NN0069,M-INT-AT..M-INT-AT>>M-INT-AT+R..M-INT-AT>>M-INT-AT+R>>M-INT-AT+N+R..M-INT-AT>>M-INT-AT+N/M-INT-HC..M-INT-TT>>M-INT-HC+R..M-INT-TT>>M-INT-HC+R>>M-INT-HC+N+R..M-INT-HC>>M-INT-HC+N/M-INT-TT..M-INT-TT>>M-INT-TT+R..M-INT-TT>>M-INT-TT+R>>M-INT-TT+N+R..M-INT-TT>>M-INT-TT+N,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
NN0187,DS-CB-INT-FYM..DS-CB-INT-FYM+NPK/DS-M-INT-FYM..DS-M-INT-FYM+NPK/DS-SB-INT-FYM..DS-SB-INT-FYM+NPK,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
NN0232,Bn in MBB_Wo..Bn in MBB_W1..Bn in MBB_W2/Bn in MB_Wo..Bn in MB_W1..Bn in MB_W2,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
NN0232,Mz in MBB_Wo..Mz in MBB_W1..Mz in MBB_W2/Mz in MB_Wo..Mz in MB_W1..Mz in MB_W2,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
NN0416,(roselle) maize +  roselle A1 intercrop..(roselle) maize +  roselle A2 intercrop..(roselle) maize +  roselle A3 intercrop,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
NN0425,Intercrop Maize 0.90m ..Intercrop Maize 0.45m,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
NN0430,maize low..maize medium..maize high,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
NN0432,Corn + PG_yr1..Corn + PG_yr2/Corn+ GG_yr1..Corn+ GG_yr2,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
NN0432,GG in Corn+ GG_yr1..GG in Corn+ GG_yr2/PG in Corn + PG_yr1..PG in Corn + PG_yr2,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
NN0435,(CG)maize + CG FS..(CG)maize + CG B..(CG)maize + CG  V4/(GG-T)maize + GG-A FS..(GG)maize + GG-A B..(GG-T)maize + GG-A  V4/(GG-T)maize + GG-T FS..(GG)maize + GG-T B..(GG-T)maize + GG-T  V4/(PG)maize + PG FS..(PG)maize + PG B..(PG)maize + PG V4,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
NN0435,(M)maize + CG FS..(M)maize + CG B..(M)maize + CG  V4/(M)maize + GG-A FS..(M)maize + GG-A B..(M)maize + GG-A  V4/(M)maize + GG-T FS..(M)maize + GG-T B..(M)maize + GG-T  V4/(M)maize + PG FS..(M)maize + PG B..(M)maize + PG V4,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
NN0463,(LB)MZ- LB intercrop+P..(LB)MZ- LB intercrop+NP/(M)MZ- LB intercrop..(M)MZ- LB intercrop+P/(M)MZ- ldP intercrop..(M)MZ- ldP intercrop+P/(M)MZ- mdP intercrop..(M)MZ- mdP intercrop+P/(ldP)MZ- ldP intercrop+P..(ldP)MZ- ldP intercrop+NP/(mdP)MZ- mdP intercrop+P..(mdP)MZ- mdP intercrop+NP,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
NN0463,(LB)MZ- LB intercrop..(LB)MZ- LB intercrop+P/(M)MZ- LB intercrop+P..(M)MZ- LB intercrop+NP/(M)MZ- mdP intercrop+P..(M)MZ- mdP intercrop+NP/(ldP)MZ- ldP intercrop+P..(ldP)MZ- ldP intercrop+NP/(ldP)MZ- ldP intercrop..(ldP)MZ- ldP intercrop+P/(mdP)MZ- mdP intercrop..(mdP)MZ- mdP intercrop+P,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
SP0002,Intercrop Faba V1 25%..Intercrop Faba V1 50%..Intercrop Faba V1 75%/Intercrop Faba V1 25%..Intercrop Faba V2 25%..Intercrop Faba V3 25%..Intercrop Faba V4 25%/Intercrop Faba V1 50%..Intercrop Faba V2 50%..Intercrop Faba V3 50%..Intercrop Faba V4 50%/Intercrop Faba V1 75%..Intercrop Faba V2 75%..Intercrop Faba V3 75%..Intercrop Faba V4 75%/Intercrop Faba V2 25%..Intercrop Faba V2 50%..Intercrop Faba V2 75%/Intercrop Faba V3 25%..Intercrop Faba V3 50%..Intercrop Faba V3 75%/Intercrop Faba V4 25%..Intercrop Faba V4 50%..Intercrop Faba V4 75%,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
SP0022,1-LaFe-HON-AS40%-CR95..1-LaFe-HON-AS40%-T5296/10-Usul-SLV-AS50%-Caturra..10-Usul-SLV-AS50%-Tekisic/11-Ahua-SLV-AS30%-Caturra..11-Ahua-SLV-AS30%-Tekisic/2-Palmira-CRI-AS20%-Catuai..2-Palmira-CRI-AS20%-CR95..2-Palmira-CRI-AS20%-Tekisic/3-SanAnt-SLV-AS40%-Casitic..3-SanAnt-SLV-AS40%-Caturra/4-SanJose-SLV-AS30%-Catuai..4-SanJose-SLV-AS30%-Caturra..4-SanJose-SLV-AS30%-Tekisic/6-SanJor-SLV-AS40%-Caturra..6-SanJor-SLV-AS40%-Tekisic,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
SP0029,Inter Guinea 0N..Inter Guinea 210N/Inter Palisade 0N..Inter Palisade 210N,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
SP0036,InterMaize80...InterMaize120...InterMaize160,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
SP0036,InterMaize80..InterMaize120..InterMaize160,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
SP0036,InterSoybean80..InterSoybean120..InterSoybean160,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
SP0039,InterGrass32R21..InterGrass3081..InterGrass30F45..InterGrass30F90,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
SP0039,InterMaize32R21..InterMaize3081..InterMaize30F45..InterMaize30F90,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
