B.Code,value,table,field,issue,parent_table,issue_addressed,addressed_by_whom,notes
JS0070,N0P0K1/N0P0K1 272/N0P0K2/N0P0K2 272/N0P1 272K0/N0P1 272K1 272/N0P1 272K2 272/N0P1K0/N0P1K1/N0P1K2/N0P2 272K0/N0P2 272K1 272/N0P2 272K2 272/N0P2K0/N0P2K1/N0P2K2/N1P0K0/N1P0K1/N1P0K1 272/N1P0K2/N1P0K2 272/N1P1 272K0/N1P1 272K1 272/N1P1 272K2 272/N1P1K0/N1P1K1/N1P1K2/N1P2 272K0/N1P2 272K1 272/N1P2 272K2 272/N1P2K0/N1P2K1/N1P2K2/N2P0K0/N2P0K1/N2P0K1 272/N2P0K2/N2P0K2 272/N2P1 272K0/N2P1 272K1 272/N2P1 272K2 272/N2P1K0/N2P1K1/N2P1K2/N2P2 272K0/N2P2 272K1 272/N2P2 272K2 272/N2P2K0/N2P2K1/N2P2K2,MT.Out,F.Level.Name,Non-match for name in F.Level.Name column.,Fert.Out,FALSE,"",""
JS0248,barley mulch/wheat  + barley mulch,MT.Out,M.Level.Name,Non-match for name in M.Level.Name column.,Res.Out,FALSE,"",""
LM0318,10mVGA/5mVGA,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
LM0321,WITH TREE C/WITH TREE M/WITHOUT TREE C/WITHOUT TREE M,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
NN0069,AT-C/AT-C-int/AT-M/AT-M-int/HC-C-int/HC-M/HC-M-int/TC-int/TM-int,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
NN0069,Traditional,MT.Out,Till.Level.Name,Non-match for name in Till.Level.Name column.,Till.Codes,FALSE,"",""
NN0168,T3>>T39..T6>>T42..T3>>T39..T3>>T39..T6>>T42..T3>>T39..T3>>T39..T3>>T39..T6>>T42..T3>>T39..T3>>T39..T6>>T42,MT.Out,T.Name,One or more component names of aggregated treatment name are missing.,,FALSE,"",""
NN0412,Lablab planting (intercrop)/Lablab sole/Maize planting (intercrop)/Maize sole/Vetch planting (intercrop)/Vetch sole,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
NN0427,Brachiaria/Inter Brachiaria/Inter PP 2008/Inter PP 2009/Inter maize/PP 2008/PP 2009/Sole maize,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
NN0435,(PG)maize + PG FS/(PG)maize + PG B/(PG)maize + PG V4,MT.Out,T.Name,Variety practice + crop selected does not merge with Var.Out tab.,,FALSE,"",""
NN0525,Landrace 1/Landrace 2/Landrace 3/Landrace 4/Landrace 5/Landrace 6/Landrace 7/Landrace 8/Landrace 9/Landrace 10/Landrace 11,MT.Out,T.Name,Variety practice + crop selected does not merge with Var.Out tab.,,FALSE,"",""
NN0546,Date 2-L100/Date 1-L106/Date 2-L106/Date 1-L107/Date 2-L109/Date 2-L11/Date 2-L110/Date 1-L112/Date 2-L113/Date 2-L115/Date 1-L116/Date 1-L118/Date 1-L120/Date 1-L123/Date 2-L127/Date 1-L128/Date 2-L132/Date 1-L140/Date 2-L141/Date 2-L148/Date 1-L158/Date 2-L162/Date 2-L168/Date 1-L17/Date 2-L17/Date 2-L170/Date 2-L173/Date 1-L174/Date 1-L176/Date 2-L177/Date 2-L182/Date 1-L182/Date 2-L185/Date 1-L19/Date 2-L190/Date 1-L192/Date 1-L2/Date 1-L200/Date 1-L202/Date 2-L202/Date 2-L207/Date 1-L210/Date 1-L211/Date 1-L215/Date 1-L219/Date 2-L224/Date 1-L227/Date 2-L277/Date 1-L277/Date 2-L23/Date 1-L232/Date 2-L232/Date 1-L233/Date 2-L234/Date 2-L236/Date 2-L244/Date 1-L246/Date 1-L248/Date 2-L249/Date 2-L250/Date 1-L250/Date 1-L257/Date 2-L257/Date 1-L258/Date 2-L263/Date 1-L268/Date 1-L271/Date 1-L281/Date 1-L41/Date 2-L41/Date 1-L43/Date 2-L47/Date 1-L49/Date 2-L5/Date 2-L52/Date 1-L54/Date 2-L54/Date 2-L55/Date 1-L59/Date 2-L60/Date 2-L64/Date 1-L68/Date 1-L72/Date 2-L72/Date 2-L75/Date 2-L84/Date 2-L86/Date 1-L88/Date 1-L89/Date 2-L89/Date 1-Check/Date 2-Check,MT.Out,T.Name,Variety practice + crop selected does not merge with Var.Out tab.,,FALSE,"",""
NN0555,Acacia angustissima/Gliricida sepium/Leucaena leucocephala/Senna spectabilis/Sesbania sesban/Tephrosia candida/Tephrosia vogelii,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
SA0051,R/W,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
SP0008,San Miguel de Tlacamama,MT.Out,F.Level.Name,Non-match for name in F.Level.Name column.,Fert.Out,FALSE,"",""
SP0022,Inga edulis..Cordia alliodora..Juglans steyermarkii..Quercus constaricensis,MT.Out,P.Product,"Product is aggregated, check the use of aggregation is valid.",,FALSE,"",""
SP0036,InterMaize80..InterMaize120..InterMaize160,MT.Out,T.Name,One or more component names of aggregated treatment name are missing.,,FALSE,"",""
SP0037,0N-WAzo-LM..0N-WAzo-SI/50N-WAzo-LM..50N-WAzo-SI/100N-WAzo-LM..100N-WAzo-SI/150N-WAzo-LM..150N-WAzo-SI/200N-WAzo-LM..200N-WAzo-SI,MT.Out,T.Name,One or more component names of aggregated treatment name are missing.,,FALSE,"",""
