value,B.Code,table,field,issue,issue_addressed,addressed_by_whom,notes
Cold press,EM1005,Animal.Diet.Comp,D.Process.Mech,No match for this value in AOM process cols,FALSE,,
Bamboo charcoal,EM1006,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Molasses treated,EM1006,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
dried under shade,EM1011/EM1013.4,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
dried under the shade to prevent nutrient loss,EM1013.3,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
green maize,EM1029,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
Andropogon and Cynodon grasses,EM1033,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
native legumes (Trifolium and Medicago),EM1033,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
under shade,EM1033,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Effective Microbe(EM) Treatment,EM1041,Animal.Diet.Comp,D.Process.Bio,No match for this value in AOM process cols,FALSE,,
Finger millet,EM1041,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Field pea,EM1048,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Variety TMS 30572,EM1053,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
Screw press,EM1055,Animal.Diet.Comp,D.Process.Mech,No match for this value in AOM process cols,FALSE,,
yellow,EM1057/EM1066/EM1076/EM1084/EM1091/EM1101/EM1104/JO1073,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Whole soybean,EM1065,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Grower,EM1066,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Dehulled,EM1068,Animal.Diet.Comp,D.Process.Mech,No match for this value in AOM process cols,TRUE,NJ,
Ground,EM1068,Animal.Diet.Comp,D.Process.Mech,No match for this value in AOM process cols,TRUE,NJ,
Water soaking,EM1068,Animal.Diet.Comp,D.Process.Mech,No match for this value in AOM process cols,TRUE,NJ,
water Rinsed,EM1068,Animal.Diet.Comp,D.Process.Mech,No match for this value in AOM process cols,TRUE,NJ,
Cochinchinensis,EM1068,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
common salt,EM1069,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
NERICA3,EM1074,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
Saccharomyces cerevisiae,EM1077,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Effective Microbes,EM1082,Animal.Diet.Comp,D.Process.Bio,No match for this value in AOM process cols,FALSE,,
Urea-Molasses treatment,EM1083,Animal.Diet.Comp,D.Process.Chem,No match for this value in AOM process cols,TRUE,NJ,
Cold pressed,EM1088,Animal.Diet.Comp,D.Process.Mech,No match for this value in AOM process cols,FALSE,,
NERICA 3,EM1089,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
Urea+molasses treatment,EM1091,Animal.Diet.Comp,D.Process.Chem,No match for this value in AOM process cols,TRUE,NJ,
Urea+molasses+baker's yeast treated,EM1091,Animal.Diet.Comp,D.Process.Chem,No match for this value in AOM process cols,TRUE,NJ,
Plain water fermented,EM1092,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
Rumen digesta filtrate fermented,EM1092,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
maize-cob ash fermeted,EM1092,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
Composted,EM1095,Animal.Diet.Comp,D.Process.Bio,No match for this value in AOM process cols,TRUE,NJ,
inoculation,EM1095,Animal.Diet.Comp,D.Process.Bio,No match for this value in AOM process cols,TRUE,NJ,
Pleurotus tuberregium (PTR) treated,EM1095,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Yalama Blogu Royal,EM1095,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
palm wine fermented,EM1100,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
water fermented,EM1100,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
Stent,EM1105,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Jasmine variety,JO1001,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
as harvested at the flowering and seeding stage,JO1007,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Yellow maize,JO1020/BO1005,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Veld,JO1031,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Soaked in Palm wine,JO1034,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
4% urea,JO1040,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
4% urea and 10 lit/100kg molasses,JO1040,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
Effective Microorganisms,JO1046,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
"2.5% urea, 2.5% quick lime,  Dandea Variety",JO1047,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
"5% urea, 10% molasses, Dandea Variety",JO1047,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
Dandea Variety,JO1047,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
"activated microbial inoculant, Dandea Variety",JO1047,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
Broiler,JO1048,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
CSL,JO1054,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
Urea,JO1054,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
Feed grade Urea,JO1055,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
Feed grade ammonium,JO1055,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
3% Mollases treated,JO1056,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,FALSE,NJ,This information can be kept
at maturity stage,JO1057,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
at seeding stage,JO1057,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
guinea grass,JO1059,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
10% molasses (150ml Cellulomonas cellulasea),JO1064,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
10% molasses (150ml Saccharomyces cerevisiae),JO1064,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
10% molasses (150ml Trichoderma viride),JO1064,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
Treated with effective microorganism (EM),JO1065,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Chalbi salt,JO1066,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Fully ripened pods,JO1066,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
milling,JO1067,Animal.Diet.Comp,D.Process.Mech,No match for this value in AOM process cols,TRUE,NJ,
Taxin binder,JO1068,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
Cassava vinasse meal.,JO1071,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Dry ripened,JO1072,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Fresh and tender leaves of M. oleifera,JO1075,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Avatec 15%,JO1076,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
AxtraPhy broiler (1000FTU),JO1076,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Pellibond,JO1076,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Zinc bacitracin 15%,JO1076,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
spent substrate,JO1076,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Enzyme,JO1077,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
TMS 30555 variety,JO1081,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
fibrolytic enzymes,JO1082,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
undecorticated,JO1082,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Silage,JO1082/JO1090,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Aspergllus orgyzae Fk-923 treatment,JO1086,Animal.Diet.Comp,D.Process.Bio,No match for this value in AOM process cols,TRUE,NJ,
Grated,JO1087,Animal.Diet.Comp,D.Process.Mech,No match for this value in AOM process cols,TRUE,NJ,
Urea Treated,JO1087/JO1099,Animal.Diet.Comp,D.Process.Chem,No match for this value in AOM process cols,TRUE,NJ,
Inoculation,JO1088,Animal.Diet.Comp,D.Process.Bio,No match for this value in AOM process cols,TRUE,NJ,
Pleurotus tuberregium,JO1088,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Powder,JO1090,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
molasses added,JO1091,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Vinasse,JO1092,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Milling||Undecorticated,JO1093,Animal.Diet.Comp,D.Process.Mech,No match for this value in AOM process cols,TRUE,NJ,
Discarded,JO1097,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
