B.Code,field,issue,value,table,parent_table,tabname,master_table,issue_addressed,addressed_by_whom,notes
AC0029,IN.Level.Name/T.Name,Compulsory Product field is blank.,NA/Natural or Bare Fallow/CS__PM/NA/FM__PP/NA,Data.Out,,,,FALSE,"",""
AC0037,IN.Level.Name/T.Name,Compulsory Product field is blank.,Coffee int__HAES 816 int/NA/Coffee int__HAES 344 int/NA/Coffee int__HAES 660 int/NA/Coffee int__IAC 9-20 int/NA/Coffee int__IAC 4-12B int/NA/Coffee int__IAC 4-20 int/NA,Data.Out,,,,FALSE,"",""
AC0039,IN.Level.Name/T.Name,Compulsory Product field is blank.,AFA1__Trees A1/NA/AFA2__Trees A2/NA/AFD1__Trees D1/NA,Data.Out,,,,FALSE,"",""
AC0043,IN.Level.Name/T.Name,Compulsory Product field is blank.,CB int alt__Maize int alt/NA/CB relay emergence alt__Maize int alt/NA/CB relay knee height alt__Maize int alt/NA/CB int paired__Maize int paired/NA/CB relay emergence paired__Maize int paired/NA/CB relay knee height paired__Maize int paired/NA,Data.Out,,,,FALSE,"",""
AC0048,IN.Level.Name/T.Name,Compulsory Product field is blank.,CT+Bio Maize__CT+Bio Pp/NA,Data.Out,,,,FALSE,"",""
AC0052,IN.Level.Name/T.Name,Compulsory Product field is blank.,Canav3__Maize int/NA/Canav1__Maize int/NA/Cowpea__Maize int/NA/Maize int__Sesbania3/NA,Data.Out,,,,FALSE,"",""
AC0055,IN.Level.Name/T.Name,Compulsory Product field is blank.,Maize int__Yam int/NA,Data.Out,,,,FALSE,"",""
AC0056,IN.Level.Name/T.Name,Compulsory Product field is blank.,Maize int__Napier grass int/NA/CB int__Maize int__Napier grass int/NA/CB int__Maize int/NA/Desmodium int__Maize int__Napier grass int/NA/Desmodium int__Maize int/NA,Data.Out,,,,FALSE,"",""
AC0057,IN.Level.Name/T.Name,Compulsory Product field is blank.,Conv legume__Conv maize int/NA/Trad legume__Trad maize int/NA/Conv legume..Trad legume__Conv maize int..Trad maize int/NA,Data.Out,,,,FALSE,"",""
AC0060,IN.Level.Name/T.Name,Compulsory Product field is blank.,CA Maize int__CA Pp int/NA,Data.Out,,,,FALSE,"",""
AC0062,IN.Level.Name/T.Name,Compulsory Product field is blank.,Cowpea int low..Cowpea int high__S int Avenger..S int Enforcer..S int Titan..S int NS5511/NA/Cowpea int low__S int Avenger..S int Enforcer..S int Titan..S int NS5511/NA/Cowpea int high__S int Avenger..S int Enforcer..S int Titan..S int NS5511/NA,Data.Out,,,,FALSE,"",""
AC0068,IN.Level.Name/T.Name,Compulsory Product field is blank.,Legume int__Maize int/NA/Legume int R+__Maize int R+/NA/Legume int T-__Maize int T-/NA/All CA Legume__All CA Maize/NA,Data.Out,,,,FALSE,"",""
AC0069,IN.Level.Name/T.Name,Compulsory Product field is blank.,CA Ca int__CA Co int__CA Ma int__CA Se int/NA,Data.Out,,,,FALSE,"",""
AC0070,IN.Level.Name/T.Name,Compulsory Product field is blank.,DiSML int Cowpea__DiSML int Maize/NA,Data.Out,,,,FALSE,"",""
AC0071,IN.Level.Name/T.Name,Compulsory Product field is blank.,CO banana__CO coffee__CO trees/NA/CB banana__CB coffee__CB trees/NA/CT banana__CT coffee__CT trees/NA,Data.Out,,,,FALSE,"",""
AC0074,IN.Level.Name/T.Name,Compulsory Product field is blank.,CB banana__CB coffee/NA/CC coffee__CC cordia/NA,Data.Out,,,,FALSE,"",""
AC0076,IN.Level.Name/T.Name,Compulsory Product field is blank.,DC Coffee__DC Ep/NA/DO  Ep__DO Coffee__Do In/NA/HDC Ca__HDC Coffee__HDC Ep__HDC Mp/NA/HDO Ca__HDO Coffee__HDO Ep__HDO Mp/NA,Data.Out,,,,FALSE,"",""
AC0084,IN.Level.Name/T.Name,Compulsory Product field is blank.,Maize int__Vb relay int/NA,Data.Out,,,,FALSE,"",""
AC0087,IN.Level.Name/T.Name,Compulsory Product field is blank.,Eucalyptus deglupta__Shade Coffee/NA/Shade Coffee__Terminalia ivorensis/NA/Erythrina poeppigiana__Shade Coffee/NA,Data.Out,,,,FALSE,"",""
AC0088,IN.Level.Name/T.Name,Compulsory Product field is blank.,Rainfed Coffee int..Irrigated Coffee int__Urochloa int/NA,Data.Out,,,,FALSE,"",""
AC0089,IN.Level.Name/T.Name,Compulsory Product field is blank.,Ah__Maize int/NA/Av__Maize int/NA,Data.Out,,,,FALSE,"",""
AC0113,IN.Level.Name/T.Name,Compulsory Product field is blank.,CI__Erythrina poeppigiana/NA/CM__Erythrina poeppigiana/NA/Erythrina poeppigiana__OI/NA/Erythrina poeppigiana__OM/NA/CI__Terminalia amazonia/NA/CM__Terminalia amazonia/NA/OI__Terminalia amazonia/NA/OM__Terminalia amazonia/NA/Chloroleucon eurycyclum__CM/NA/Chloroleucon eurycyclum__OI/NA/CM__Erythrina poeppigiana__Terminalia amazonia/NA/Erythrina poeppigiana__OI__Terminalia amazonia/NA,Data.Out,,,,FALSE,"",""
AC0122,IN.Level.Name/T.Name,Compulsory Product field is blank.,JB int__Maize int/NA,Data.Out,,,,FALSE,"",""
AC0125,IN.Level.Name/T.Name,Compulsory Product field is blank.,Cin__Inga/NA,Data.Out,,,,FALSE,"",""
AC0129,IN.Level.Name/T.Name,Compulsory Product field is blank.,CB__Maize/NA/CB__Maize__SMAS-1/NA,Data.Out,,,,FALSE,"",""
AC0130,IN.Level.Name/T.Name,Compulsory Product field is blank.,Inga submuda RO__Shaded Coffee/NA/Banana Sweet PA__Shaded Coffee__Solanum sp. PA/NA/Banana Sweet GI__Inga submuda GI__Shaded Coffee__Solanum sp. GI/NA,Data.Out,,,,FALSE,"",""
AC0132,IN.Level.Name/T.Name,Compulsory Product field is blank.,NA/Cowpea__Maize relay 0N NT/NA/Cowpea__Maize relay 180N NT/Lablab__Maize relay 0N NT/NA/Maize relay 0N NT__Pigeon pea/NA/NA/Cowpea__Maize relay 120N NT/Lablab__Maize relay 120N NT/NA/Maize relay 180N NT__Pigeon pea/NA/Lablab__Maize relay 180N NT/NA,Data.Out,,,,FALSE,"",""
AC0133,IN.Level.Name/T.Name,Compulsory Product field is blank.,AFS__Inga/NA,Data.Out,,,,FALSE,"",""
AC0135,IN.Level.Name/T.Name,Compulsory Product field is blank.,F-J__J-F 0N/NA/J-M 0N__M-J/NA/F-M__M-F 0N/NA/F-J__J-F 60N/NA/J-M 60N__M-J/NA/F-M__M-F 60N/NA/F-J__J-F 120N/NA/J-M 120N__M-J/NA/F-M__M-F 120N/NA/F-J-M__J-F-M 0N__M-J-F/NA/F-J-M__J-F-M 60N__M-J-F/NA/F-J-M__J-F-M 120N__M-J-F/NA,Data.Out,,,,FALSE,"",""
AC0153,IN.Level.Name/T.Name,Compulsory Product field is blank.,BO int__CV int/NA/20BOCV 2004__CV int/NA/40BOCV 2004__CV int/NA/80BOCV 2004__CV int/NA/20BOCV 2005__CV int/NA/40BOCV 2005__CV int/NA/80BOCV 2005__CV int/NA,Data.Out,,,,FALSE,"",""
AC0168,IN.Level.Name/T.Name,Compulsory Product field is blank.,MC Cp F0__MC PM F0/NA/MC Cp F1__MC PM F1/NA/MC Cp F2__MC PM F2/NA/MC Cp F3__MC PM F3/NA/MC Cp F0__MC PM F0__Zizi/NA/MC Cp F1__MC PM F1__Zizi/NA/MC Cp F2__MC PM F2__Zizi/NA/MC Cp F3__MC PM F3__Zizi/NA/MC Cp F2..MC Cp F3..MC Cp F1..MC Cp F0__MC PM F1..MC PM F2..MC PM F3..MC PM F0/NA/MM F0..MM F1..MM F2..MM F3__Zizi/NA/CC F0..CC F1..CCF2..CCF3__Zizi/NA/MC Cp F2..MC Cp F3..MC Cp F1..MC Cp F0__MC PM F1..MC PM F2..MC PM F3..MC PM F0__Zizi/NA,Data.Out,,,,FALSE,"",""
AC0169,IN.Level.Name/T.Name,Compulsory Product field is blank.,CA Cp__CA Maize int/NA/CA Cp__CA Maize int + Manure/NA/CA Maize int__CA Vb/NA/CA Maize int + Manure__CA Vb/NA/CA Cp__CA Maize int..CA Maize int + Manure/NA/CA Maize int..CA Maize int + Manure__CA Vb/NA,Data.Out,,,,FALSE,"",""
AC0175,IN.Level.Name/T.Name,Compulsory Product field is blank.,Banana__CTR/NA/Banana__FYM/NA/Banana__FYM + CR/NA,Data.Out,,,,FALSE,"",""
CJ0001,IN.Level.Name/T.Name,Compulsory Product field is blank., Cowpea _Intercrop maize/NA,Data.Out,,,,FALSE,"",""
CJ0003,IN.Level.Name/T.Name,Compulsory Product field is blank.,intercropped maize SP__intercropped-Lab lab-SP/NA/intercropped -lab lab-DP__intercropped maize DP/NA,Data.Out,,,,FALSE,"",""
CJ0004,IN.Level.Name/T.Name,Compulsory Product field is blank.,MA-A__MA-M/NA/MA-A+FERT__MA-M+FERT/NA/50/50MA2__50/50MA2+A/NA/60/40MA2__60/40MA2+A/NA/70/30MA2__70/30MA2+A/NA/80/20MA2__80/20MA2+A/NA/50/50MA2_FERT__50/50MA2+A_FERT/NA/60/40MA2_FERT__60/40MA2+A_FERT/NA/70/30MA2_FERT__70/30MA2+A_FERT/NA/80/20MA2_FERT__80/20MA2+A_FERT/NA,Data.Out,,,,FALSE,"",""
CJ0006,IN.Level.Name/T.Name,Compulsory Product field is blank.,Cowpea__Int Maize 0/NA/Cowpea__Int Maize 100/NA/Cowpea__Int Maize 200/NA/Cowpea__Int Maize 300/NA/Int Maize 0__Silverleaf/NA/Int Maize 100__Silverleaf/NA/Int Maize 200__Silverleaf/NA/Int Maize 300__Silverleaf/NA/Int Maize 0__Velvet Bean/NA/Int Maize 100__Velvet Bean/NA/Int Maize 200__Velvet Bean/NA/Int Maize 300__Velvet Bean/NA,Data.Out,,,,FALSE,"",""
CJ0010,IN.Level.Name/T.Name,Compulsory Product field is blank.,Miaze Pigeon Pea Intercrop__Miaze Pigeon Pea Intercrop-PP/NA,Data.Out,,,,FALSE,"",""
CJ0011,IN.Level.Name/T.Name,Compulsory Product field is blank.,Double common bean monoculture (Bn+Bn2)__Double common bean monoculture (Bn1+Bn)/NA/Simultaneous common bean intercropping with maize (M+Bn1)__Simultaneous common bean intercropping with maize (M1+Bn)-maize/NA/Sequential common bean intercropping with maize (M+Bn+Bn1)__Sequential common bean intercropping with maize (M+Bn1+Bn)__Sequential common bean intercropping with maize (M1+Bn+Bn)/NA/Relay common bean intercropping with maize (M+BnR1)__Relay common bean intercropping with maize (M1+BnR)/NA,Data.Out,,,,FALSE,"",""
CJ0013,IN.Level.Name/T.Name,Compulsory Product field is blank.,CA Maize int__Cowpea int/NA/CA Maize int__Mc int/NA/CA Maize int + Manure_Cowpea int/NA/CA Maize int + Manure_Mc int/NA,Data.Out,,,,FALSE,"",""
CJ0022,IN.Level.Name/T.Name,Compulsory Product field is blank., Rainfed intercropping coffee__Rainfed intercropping macademia/NA/ Irrigated intercropping coffee__ Irrigated intercropping macademia/NA,Data.Out,,,,FALSE,"",""
CJ0026,IN.Level.Name/T.Name,Compulsory Product field is blank.,Cowpea_Dibblestick_DBMCI__Maize_Dibblestick_DBMCI/NA,Data.Out,,,,FALSE,"",""
CJ0028,IN.Level.Name/T.Name,Compulsory Product field is blank.,(C) Maize + Cassava__(M) Maize + Cassava/NA/(C) Maize + Cassava__(M) Maize + Cassava__Leucaena hedgerow/NA,Data.Out,,,,FALSE,"",""
CJ0030,IN.Level.Name/T.Name,Compulsory Product field is blank.,Maize intercrop__pigeonpea MD-control/NA/Maize intercrop__Pigeonpea LD-control/NA/Lablab intercrop-control__Maize intercrop/NA/Maize intercrop+P__pigeonpea MD+P/NA/Maize intercrop+P__Pigeonpea LD+P/NA/Lablab intercrop+P__Maize intercrop+P/NA/Maize intercrop+NP__pigeonpea MD+P/NA/Maize intercrop+NP__Pigeonpea LD+P/NA/Lablab intercrop+P__Maize intercrop+NP/NA,Data.Out,,,,FALSE,"",""
CJ0037,IN.Level.Name/T.Name,Compulsory Product field is blank.,Maize int__Yi-flat D1..Yi-R D1..Yi-flat-F D1..Yi-R-F D1..Yi-flat D2..Yi-R D2..Yi-flat-F D2..Yi-R-F D2..Yi-flat D3..Yi-R D3..Yi-flat-F D3..Yi-R-F D3..Yi-flat D4..Yi-R D4..Yi-flat-F D4..Yi-R-F D4..Yi-flat D5..Yi-R D5..Yi-flat-F D5..Yi-R-F D5..Yi-flat D6..Yi-R D6..Yi-flat-F D6..Yi-R-F D6/Yi-flat D1..Yi-R D1..Yi-flat-F D1..Yi-R-F D1..Yi-flat D2..Yi-R D2..Yi-flat-F D2..Yi-R-F D2..Yi-flat D3..Yi-R D3..Yi-flat-F D3..Yi-R-F D3..Yi-flat D4..Yi-R D4..Yi-flat-F D4..Yi-R-F D4..Yi-flat D5..Yi-R D5..Yi-flat-F D5..Yi-R-F D5..Yi-flat D6..Yi-R D6..Yi-flat-F D6..Yi-R-F D6/NA/SY-flat D1..SY-R D1..SY-flat-F D1..SY-R-F D1..SY-flat D2..SY-R D2..SY-flat-F D2..SY-R-F D2..SY-flat D3..SY-R D3..SY-flat-F D3..SY-R-F D3..SY-flat D4..SY-R D4..SY-flat-F D4..SY-R-F D4..SY-flat D5..SY-R D5..SY-flat-F D5..SY-R-F D5..SY-flat D6..SY-R D6..SY-flat-F D6..SY-R-F D6/Maize int__Yi-R D1..Yi-R-F D1..Yi-R D2..Yi-R-F D2..Yi-R D3..Yi-R-F D3..Yi-R D4..Yi-R-F D4..Yi-R D5..Yi-R-F D5..Yi-R D6..Yi-R-F D6/NA/Maize int__Yi-flat D1..Yi-flat-F D1..Yi-flat D2..Yi-flat-F D2..Yi-flat D3..Yi-flat-F D3..Yi-flat D4..Yi-flat-F D4..Yi-flat D5..Yi-flat-F D5..Yi-flat D6..Yi-flat-F D6/NA/Maize int__Yi-flat-F D1..Yi-R-F D1..Yi-flat-F D2..Yi-R-F D2..Yi-flat-F D3..Yi-R-F D3..Yi-flat-F D4..Yi-R-F D4..Yi-flat-F D5..Yi-R-F D5..Yi-flat-F D6..Yi-R-F D6/NA/Maize int__Yi-flat D1..Yi-R D1..Yi-flat D2..Yi-R D2..Yi-flat D3..Yi-R D3..Yi-flat D4..Yi-R D4..Yi-flat D5..Yi-R D5..Yi-flat D6..Yi-R D6/NA,Data.Out,,,,FALSE,"",""
CJ0042,IN.Level.Name/T.Name,Compulsory Product field is blank.,T1: at flowering stage (FS) _N1__T1: at flowering stage (FS)_bean/NA/T2: 15 days after FS_bean__T2: 15 days after FS_N1/NA/T3: 30 days after FS_N1__T3: 30 days after FS-bean/NA/T1: at flowering stage (FS) _N2 __T1: at flowering stage (FS)_bean/NA/T2: 15 days after FS_bean__T2: 15 days after FS-N2/NA/T3: 30 days after FS_N2__T3: 30 days after FS-bean/NA/T1: at flowering stage (FS) _N3 __T1: at flowering stage (FS)_bean/NA/T2: 15 days after FS_bean__T2: 15 days after FS-N3/NA/T3: 30 days after FS_N3__T3: 30 days after FS-bean/NA,Data.Out,,,,FALSE,"",""
CJ0044,IN.Level.Name/T.Name,Compulsory Product field is blank.,potato intercrop__potato-lupin-lupin/NA/potato intercrop+DAP__potato-lupin-lupin/NA/potato-intercrop+NPK__potato-lupin-lupin/NA/potato intercrop__potato-lima-lima bean/NA/potato intercrop+DAP__potato-lima-lima bean/NA/potato-intercrop+NPK__potato-lima-lima bean/NA,Data.Out,,,,FALSE,"",""
CJ0047,IN.Level.Name/T.Name,Compulsory Product field is blank.,Beans + maize + manure + fertiliser (BMcf)__Beans + maize + manure + fertiliser (BMMcf)/NA/Beans + maize + manure + fertiliser (BMcf)_SER83__Beans + maize + manure + fertiliser (BMMcf)/NA,Data.Out,,,,FALSE,"",""
CJ0057,IN.Level.Name/T.Name,Compulsory Product field is blank., cowpea intercrop__ maize intercrop/NA,Data.Out,,,,FALSE,"",""
CJ0058,IN.Level.Name/T.Name,Compulsory Product field is blank.,Maize int__Watermelon Int/NA,Data.Out,,,,FALSE,"",""
CJ0082,Out.Code.Joined,"Compulsory Treatment, Intercropping and Rotation fields are all blank (at least one value must be present).",NA,Data.Out,,,,FALSE,"",""
CJ0090,IN.Level.Name/T.Name,Compulsory Product field is blank.,MZ-I-NTMM__V-NTMM/NA/MZ-I-RTMM__V-RTMM/NA/MZ-I-CTMM__V-CTMM/NA,Data.Out,,,,FALSE,"",""
CJ0099,IN.Level.Name/T.Name,Compulsory Product field is blank., D. intortum intercrop__Finger millet intercrop/NA,Data.Out,,,,FALSE,"",""
CJ0105,IN.Level.Name/T.Name,Compulsory Product field is blank., Vicia Sativa75+f__F25+ Vicia Sativa/NA/ Vicia Sativa50+f__F50+ Vicia Sativa/NA/ Vicia Sativa25+f__F75+ Vicia Sativa/NA/F+Vicia villosa75__F25+Vicia villosa/NA/F+Vicia villosa50__F50+Vicia villosa/NA/F+Vicia villosa25__F75+Vicia villosa/NA/F+atropurpurea75__F25+atropurpurea/NA/F+atropurpurea50__F50+atropurpurea/NA/F+atropurpurea25__F75+atropurpurea/NA,Data.Out,,,,FALSE,"",""
CJ0108,IN.Level.Name/T.Name,Compulsory Product field is blank.,Mung Bean INTER-50%__Sorghum INTER-50%/NA/Mung Bean INTER-1__Sorghum INTER-2/NA/Mung Bean INTER 1__Sorghum INTER 1/NA/Mung Bean INTER-2__Sorghum INTER-1/NA,Data.Out,,,,FALSE,"",""
CJ0124,IN.Level.Name/T.Name,Compulsory Product field is blank.,2cowpea__2Maize/NA/2Groundnut__2Maize/NA/2Maize-4intercrop__4cowpea/NA/2Maize-4intercrop__4Groundnut/NA,Data.Out,,,,FALSE,"",""
CJ0125,IN.Level.Name/T.Name,Compulsory Product field is blank.,ISV128/millet-fert__ISV128/millet-fert-mil/NA/Tiligre/millet-fert__Tiligre/millet-fert-mil/NA/ISV128/millet-W/fert__ISV128/millet-W/fert-mil/NA/Tiligre/millet-W/fert__Tiligre/millet-W/fert-mil/NA,Data.Out,,,,FALSE,"",""
CJ0132,IN.Level.Name/T.Name,Compulsory Product field is blank.,OF-3+L-cotton__OF-3+L-mung/NA,Data.Out,,,,FALSE,"",""
CJ0141,IN.Level.Name/T.Name,Compulsory Product field is blank.,RC-CT__RC-CT-R/NA/RC-MT__RC-MT-R/NA,Data.Out,,,,FALSE,"",""
CJ0159,IN.Level.Name/T.Name,Compulsory Product field is blank.,intercrop potato__intercrop velvet/NA/1 potato intercrop__2 velvet intercrop/NA/1 velvet intercrop__2 potato intercrop/NA,Data.Out,,,,FALSE,"",""
CJ0163,IN.Level.Name/T.Name,Compulsory Product field is blank.,ICEAP 001284 MIXED INT__PAN 6479 MIXED INT/NA/ICEAP 00604 MIXED INT__PAN 6479 MIXED INT/NA/ICEAP 00661 MIXED INT__PAN 6479 MIXED INT/NA/ICEAP01101-2 MIXED INT__PAN 6479 MIXED INT/NA/ICEAP 87091 MIXED INT__PAN 6479 MIXED INT/NA/ICEAP 001284 STRIP INT__PAN 6479 STRIP INT/NA/ICEAP 00604 STRIP INT__PAN 6479 STRIP INT/NA/ICEAP 00661 STRIP INT__PAN 6479 STRIP INT/NA/ICEAP01101-2 STRIP INT__PAN 6479 STRIP INT/NA/ICEAP 87091 STRIP INT__PAN 6479 STRIP INT/NA,Data.Out,,,,FALSE,"",""
DM0003,IN.Level.Name/T.Name,Compulsory Product field is blank.,Intercrop cowpea__Intercrop maize/NA/Intercrop Groundnut__Intercrop maize/NA/Intercrop maize__Intercrop sweet potatoe/NA,Data.Out,,,,FALSE,"",""
DM0008,IN.Level.Name/T.Name,Compulsory Product field is blank.,Gliricidia MZ12__Intercrop Maize MZ12/NA/Gliricidia MZ21__Intercrop Maize MZ21/NA,Data.Out,,,,FALSE,"",""
DM0016,IN.Level.Name/T.Name,Compulsory Product field is blank.,3C:1B __Intercropping banana/NA/2C:1B __Intercropping banana/NA/1C:1B __Intercropping banana/NA/4C:1B __Intercropping banana/NA,Data.Out,,,,FALSE,"",""
DM0020,IN.Level.Name/T.Name,Compulsory Product field is blank.,Ayocote bean__Intercrop Maize /NA/Black bean__Intercrop Maize /NA/Climbing bean__Intercrop Maize /NA/Crotalaria__Intercrop Maize /NA/Intercrop Maize __Lablab/NA,Data.Out,,,,FALSE,"",""
DM0024,IN.Level.Name/T.Name,Compulsory Product field is blank.,C+Inga spp. Young__Coffee intercropping/NA,Data.Out,,,,FALSE,"",""
DM0026,IN.Level.Name/T.Name,Compulsory Product field is blank.,Coffee monocropping RA__Macadamia intercropping RA/NA/Coffee intercropping SI__Macadamia intercropping SI/NA,Data.Out,,,,FALSE,"",""
HK0111,IN.Level.Name/T.Name,Compulsory Product field is blank.,(C) Maize + Cassava_mound__(M) Maize + cassava_mound/(M) Maize + cassava_mound/(C) Maize + Cassava__(M) Maize + cassava/(M) Maize + cassava/(C) Maize + Cassava + 30_mound__(M) Maize + cassava + 30_mound/(M) Maize + cassava_mound/(C) Maize + Cassava + 60_mound__(M) Maize + cassava + 60_mound/(M) Maize + cassava_mound/(C) Maize + Cassava + 30__(M) Maize + cassava + 30/(M) Maize + cassava/(C) Maize + Cassava + 60__(M) Maize + cassava + 60/(M) Maize + cassava,Data.Out,,,,FALSE,"",""
HK0209,IN.Level.Name/T.Name,Compulsory Product field is blank.,Gliricida sepium__Intercrop Maize No fert ..Intercrop Maize 50% fert..Intercrop Maize 25% fert/NA,Data.Out,,,,FALSE,"",""
HK0240,IN.Level.Name/T.Name,Compulsory Product field is blank.,Gliricidia inter__Maize inter/NA,Data.Out,,,,FALSE,"",""
HK0242,IN.Level.Name/T.Name,Compulsory Product field is blank.,INT-FL__INT-M-0N..INT-M-60N..INT-M-120N/NA/INT-LL__INT-M-0N..INT-M-60N..INT-M-120N/NA,Data.Out,,,,FALSE,"",""
HK0255.2,IN.Level.Name/T.Name,Compulsory Product field is blank.,HRS CAM__HRS CAM-PP/NA,Data.Out,,,,FALSE,"",""
HK0258.1,IN.Level.Name/T.Name,Compulsory Product field is blank.,INT-LL__INT-M-0N/NA/INT-FL__INT-M-0N/NA/INT-GS__INT-M-0N/NA/INT-LL__INT-M-60N/NA/INT-FL__INT-M-60N/NA/INT-GS__INT-M-60N/NA/INT-LL__INT-M-120N/NA/INT-FL__INT-M-120N/NA/INT-GS__INT-M-120N/NA,Data.Out,,,,FALSE,"",""
HK0313,IN.Level.Name/T.Name,Compulsory Product field is blank.,CP__CP INT/NA/CP INT__RS/NA/CP INT__DS/NA/CP INT__CP>>N69/NA/CP INT__RS>>N69/NA/CP INT__DS>>N69/NA,Data.Out,,,,FALSE,"",""
JO0001,IN.Level.Name/T.Name,Compulsory Product field is blank.,Obatanpa Int__Soybean-10 Int/NA/Obatanpa Int__Soybean-20 Int/NA/Obatanpa Int__Soybean-30 Int/NA/Sammaz Int__Soybean-10 Int/NA/Sammaz Int__Soybean-20 Int/NA,Data.Out,,,,FALSE,"",""
JO0005,IN.Level.Name/T.Name,Compulsory Product field is blank.,INT NUA 45__INT SC672/NA/INT SC672__INT SER83/NA,Data.Out,,,,FALSE,"",""
JO0010,IN.Level.Name/T.Name,Compulsory Product field is blank.,Gliriciidia intercrop__Maize intercrop/NA,Data.Out,,,,FALSE,"",""
JO0011,IN.Level.Name/T.Name,Compulsory Product field is blank.,Barley-INT-100-12.5%__Fava-INT-12.5%/NA/Barley-INT-100-25%__Fava-INT-25%/NA/Barley-INT-100-37.5%__Fava-INT-37.5%/NA/Barley-INT-100-50%__Fava-INT-50%/NA/Barley-INT-100-62.5%__Fava-INT-62.5%/NA,Data.Out,,,,FALSE,"",""
