value,B.Code,table,field,table_alt,field_alt,master_tab,F.Category,issue_addressed,addressed_by_whom,notes
Cattle leachate,AC0137,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Cattle slurry,AC0139,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Charcoal,JO0098,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Chicken Litter,AC0023/JO0021/DM0026,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Chicken Manure,AC0116,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Chromolaena odorata leaves,JO0044,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Cobalt,NN0442/SP0040,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Cocoa pod husk,CJ0181,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Coffee husk,JO0061,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Coffee husks compost,NM0078,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Coffee pulp,AC0105/AC0113,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Common bean haulms,CJ0111,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Compund C,NM0086,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Controlled Released Urea,SP0041,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Copper,AC0023/CJ0022/JO0021/NM0015/AC0037/DM0026/JO0051/SP0020/JO0061/NN0455/CJ0107/CJ0126/JO0193/NM0083/NN0504,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Copper Oxide,CJ0126,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
DAP,SA0025,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Dairy liquid manure,NN0429,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Deep placement,NM0124,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Diammonium Phosphate,AC0014/DM0006/NN0422/NN0423/AC0030.2/AC0033/CJ0027/JO0023/CJ0029/JO0025/AC0043/AC0045/AC0048/AC0056/CJ0044/AC0067/AC0081/AC0085/AC0090/AC0100/AC0103/AC0127/CJ0050/CJ0053/CJ0088/JO0065/JO0082/JO0090/NM0024/NM0032/NM0070/NN0454/NN0469/CJ0108/CJ0115/CJ0125/CJ0129/CJ0132/CJ0146/CJ0154/CJ0169/CJ0171/JO0103/JO0122/JO0129/JO0135/JO0143/JO0153/JO0158/NN0477/NN0478/CJ0190/CJ0193/CJ0198/CJ0199/CJ0203/HK0002/JO0180/JO0194/JO0200/JO0210/JS0248/JS0260/JS0278/JS0279/NM0100/NM0104/NM0116/NM0121.1/NM0121.2/NM0124/NM0127/NN0003/NN0240/NN0347/NN0373/NN0481/NN0483/NN0489/NN0502/NN0517/NN0535/NN0537/SA0005/SA0006/SA0012/SA0013/SA0022/SA0023/SA0024/SA0032/SA0033/SA0036/SA0039/SA0040/SA0043/SA0046/SA0047/SA0051/SA0052/SA0055/SA0058/SA0061/SA0065/NN0415,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Dollop,CJ0055/NN0457,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Eucalyptus saligna,LM0165,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
FTR BR-12,NM0071,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Farmyard Manure,SP0008/CJ0039/AC0077.1/CJ0055/CJ0066/JO0055/NM0036/NN0461/AC0146/AC0168/AC0175/CJ0126/CJ0132/CJ0148/JO0099/JO0121/JO0138/CJ0189/JO0191/JO0197/JS0283/LM0176.3/LM0189/LM0265/NM0091/NM0093/NM0121.2/NM0130/NN0187/NN0482/NN0497/NN0506/NN0520/SA0001/SA0003/SA0004/SA0005/SA0006/SA0008/SA0009/SA0010/SA0013/SA0016/SA0017/SA0022/SA0023/SA0024/SA0025/SA0028/SA0035/SA0036/SA0037/SA0039/SA0040/SA0041/SA0042/SA0043/SA0051/SA0052/SA0053/SA0054.1/SA0054.2/SA0055/SA0058/SA0059.1/SA0059.3/SA0061/SA0062/SA0065/SA0066/JO0163/SP0001/AC0013,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
FertiSoil,SP0046,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Fertibor (B),NN0467,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Fertisoil,AC0046,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Fortifer Co-Compost,SP0060,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Fortifer Enriched,SP0060,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Fortifer Pellet,SP0060,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Fritted trace elements,AC0088/JO0110,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Granular,AC0072/JO0050/AC0110,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Guano ,JO0166,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Gypsum,SP0018/AC0096/AC0169/CJ0117/SP0038/NN0515/NN0543/SA0060,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Hill application,NM0084,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Hill placement,LM0194,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Household Waste,CJ0138,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Humic substances,AC0123,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Humus,JO0098,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
In-field,SP0005/CJ0062/JO0155,Fert.Method,F.Source,F.Method,M.Source,lookup_levels,,FALSE,"",""
Iron,SP0008/JO0193,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
K2CO3 ,CJ0187,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
K2S04,JO0162,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Kg/ha,NN0533,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
Lateral Furrow,AC0158,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Lime,JO0002,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Limestone Ammonium Nitrate,JO0014/NN0421/AC0064/SP0021/AC0098/NM0074/SP0025/SP0043/LM0119/NN0168/NN0553,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Liquid Dairy Manure,AC0154,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
"Liquid biofertiliser (manure, ash, organic rests)",NM0067,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Liquid fertilizer,CJ0129,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Livestock manure,NN0551,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Magnesium,SP0008/SP0015/AC0061/JO0051/NN0455/CJ0127/CJ0140/JO0109/JO0155/JO0167/CJ0197/JO0195/NN0504/NN0533,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Magnesium Oxide,AC0125/AC0133/JO0098/JO0193/JS0411,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Magnesium Oxide,DM0024,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Magnesium Sulphate,LM0061,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Magnesium Sulphate,NM0071,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Magnesium Suplhate,NM0071,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Magnesium sulfate,NN0467,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Magnesium thermophosphate,AC0088,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
"Maize Stover, Cattle Manure and Grass",CJ0055,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Maize cob,CJ0204,Fert.Method,F.Type,,,fert,Ash,FALSE,"",""
Mango tree,CJ0162,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Mavuno,CJ0126,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
"Mavuno Peas, Beans and ",NM0100,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Mg C/ha,LM0176.3/LM0189,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
Minjingu Mazao,JO0090,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Monoammonium Phosphate ,CJ0019/SP0013/NM0046/NN0467/CJ0120/SP0041/CJ0200/DM0025,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Muriate of Potash,SP0006/AC0020/CJ0014/AC0036/CJ0025/NM0017/CJ0029/JO0025/NN0440/CJ0032/CJ0033/CJ0038/CJ0039/DM0027/NN0441/JO0041/JO0042/AC0077.1/AC0077.2/AC0077.3/AC0124/CJ0066/CJ0076/JO0055/NM0039/NM0046/NN0451/NN0462/NN0468/CJ0111/CJ0123/CJ0131/JO0114/JO0134/JO0136/JO0142/SP0046/AF0002/CJ0150.1/HK0106/HK0157/HK0161.1/HK0161.2/JO0180/JO0198/JO0199/JS0087/JS0433/LM0061/LM0074/LM0075.3/LM0108/LM0165/LM0176.3/LM0194/LM0321/NM0111/NN0522/NN0559.1/NN0559.2/NN0559.3/NN0559.4/NN0561/SA0006/SA0007/SA0013/SA0016/SA0019/SA0022/SA0023/SA0033/SA0036/SA0039/SA0040/SA0042/SA0043/SA0048/SA0050/SA0053/SA0058/SA0059.1/SA0060/SA0062/SA0064/SA0065/AC0001/JO0003/NM0002/AC0005/AC0011/CJ0008,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
NBPT (urea inhibitor),CJ0071,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
NP (Unspecified),NN0561,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
NPK,CJ0061,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
NPKS,AC0060/AC0061/NN0452/NN0296/NN0524,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
NPKSB,NN0482/NN0498,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
New Mavuno blend,NM0100,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Nickel,JO0061,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Nitrochalk,LM0097,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
OBD-Plus,NM0031,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Off-farm (collected),AC0031/CJ0034/JO0044/CJ0064/NM0036/NM0053/NM0064/NM0066/JO0008/AC0164/CJ0111/CJ0173/JO0106/JO0138/JO0161/CJ0189/LM0265/SA0014,Fert.Method,F.Source,F.Method,M.Source,lookup_levels,,FALSE,"",""
Off-farm (purchased),NN0423/CJ0013/CJ0047/NM0031/CJ0096/JO0052/NN0455/NN0467/CJ0138/CJ0162,Fert.Method,F.Source,F.Method,M.Source,lookup_levels,,FALSE,"",""
Off-farm (unknown),NN0432/NN0433/NN0434/NN0435/NN0439/NN0440/CJ0039/NN0441/NN0447/NN0448/NN0452/SP0018/CJ0076/NN0454/NN0455/NN0457/NN0458/NN0463/NN0466/NN0467/NN0468/NN0469/CJ0103/CJ0111/CJ0132/CJ0151/CJ0162/NN0474/NM0116/NN0481/NN0484/NN0485.1/NN0485.2/NN0486/NN0487/NN0488/NN0499/NN0500/NN0503/NN0504/NN0512/NN0410/NN0415/NN0417/NN0420,Fert.Method,F.Source,F.Method,M.Source,lookup_levels,,FALSE,"",""
On-farm,NN0423/AC0058/AC0079/CJ0104/JS0040.2,Fert.Method,F.Source,F.Method,M.Source,lookup_levels,,FALSE,"",""
Ox manure,LM0278,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Oyster shell,NN0530,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
PK 20:20,JS0411,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Palm Oil Mill Effluent,NN0457,Fert.Method,F.Type,,,fert,Biosolid,FALSE,"",""
Peat,JO0098,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Phosphate naturel de Tilemsi (PNT),CJ0185,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Pig litter,AC0139/AC0154,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Pig slurry,AC0139/AC0154,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Pig slurry,AC0153,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Pigeon pea,AC0063,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Pigeon pea ,NM0042,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Plant & animal based (unspecified),NN0548,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Plant-based (unspecified),NN0548,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Point placed,AC0004,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Polymer coated,CJ0071,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Potassium Chloride,AC0023/AC0026/JO0016.1/JO0016.2/JO0018/NN0425/NN0429/NN0433/JO0023/NN0435/AC0042/HK0111/JO0030/CJ0037/DM0026/DM0028/NN0442/JO0047/JO0050/SP0018/SP0020/SP0024/AC0111/AC0115/AC0119/AC0120/AC0123/AC0125/AC0128/AC0135/AC0139/CJ0072/CJ0086/JO0068/JO0069/JO0080/JO0084/JO0087/JO0091/NM0035/NM0062/NM0070/NM0071/NN0465/NN0470/SP0025/AC0148/JO0062/JO0083/JO0092/AC0154/AC0156/CJ0102/CJ0117/CJ0152/NN0474/SP0039/SP0040/SP0041/CJ0187/DM0011/DM0024/HK0242/JO0179/JO0199/JS0102/JS0104/JS0389/JS0411/LM0189/NN0026/NN0498/NN0514.1/NN0514.2/SA0005/SA0012/SA0024/SA0025/SA0032/SA0046/SA0047/SA0051/SA0052/SA0055/SA0061/NN0023/NN0410/AC0013,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Potassium Nitrate,CJ0019,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Potassium Sulphate,CJ0042/AC0113/CJ0104/CJ0145/CJ0156/CJ0172/CJ0173/CJ0174/JO0109/JO0121/JO0141/JO0148/JO0153/JO0174/JO0205/JO0206/JS0039/JS0054/NM0125/NN0497/NN0523/NN0554/SP0065,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Poultry Litter Lot 1,AC0147,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Poultry Litter Lot 2,AC0147,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Poultry Litter Lot 3,AC0147,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Poutry Farmyard Manure,NN0410,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Pressmud,SA0006,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Rabbit manure,CJ0173,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Rice Straw,CJ0170,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Ridge Applied,NM0028,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Rock Phosphate (Ogun),NM0039,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Rock Phosphate (Tilemsi),NN0003,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Rock Superphosphate,CJ0156,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Root dipping,AC0172,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Sewage Sludge,SP0018/AC0120,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Sheep Manure ,JO0048/NN0526,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Sheep leachate,AC0137,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Single Super Phosphate,AC0023/AC0026/JO0016.1/JO0016.2/AC0036/CJ0025/NM0015/NM0017/HK0111/CJ0041/DM0028/JO0041/JO0047/SP0020/AC0119/JO0084/NM0035/NM0071/NN0465/NN0470/SP0025/AC0148/JO0092/AC0156/AC0168/CJ0120/CJ0143/CJ0156/JO0121/JO0141/AF0002/AF0006/CJ0187/HK0002/HK0106/HK0157/HK0161.1/HK0161.2/HK0242/JO0205/JS0040.2/JS0087/JS0307/JS0334.1/JS0334.2/JS0389/JS0433/LM0061/LM0075.1/LM0075.2/LM0075.3/LM0081/LM0097/LM0108/LM0321/NM0080/NM0111/NM0123/NN0026/NN0040/NN0041/NN0049/NN0067/NN0070.1/NN0070/NN0132/NN0485.1/NN0485.2/NN0503/NN0553/SA0006/SA0016/SA0019/SA0035/SA0039/SA0042/SA0045/SA0048/SA0050/SA0051/SA0052/SA0053/SA0055/SA0060/SA0061/SA0062/SA0064/AC0001/AC0003/CJ0003/NN0023/AC0005/CJ0006,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Sodium molybdate,NN0442,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Sorghum Straw ,JS0054,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Soybean straw,CJ0104,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Spent Mushroom Waste,NM0073,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Spot application,CJ0146,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Spraying,CJ0129,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Straw ,JS0039,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Strip application,NM0084,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Sukphuric Acid,CJ0187,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Sulphuric Acid,CJ0187,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Super Phosphate,DM0026/JO0042/AC0093/CJ0123/LM0074/NN0520/SA0059.1,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Super grow,NM0074,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Suphur,NN0533,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Surface-banded,AC0024,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Swine wastewater,CJ0103,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
TSP,JO0162,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Tamarindus indica L.,JO0008,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Terra preta,CJ0138,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Tithonia diversifolia leaves,JO0044,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Top dressing,AC0014/AC0015/AC0017/AC0018/AC0020/AC0022/JO0016.1/JO0016.2/AC0030.2/NM0016/AC0005,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Triple Super Phosphate,SP0006/AC0020/CJ0014/JO0018/NM0009/NN0425/CJ0024/NN0438/AC0040/AC0042/AC0046/JO0030/NN0440/AC0061/CJ0030/CJ0032/CJ0033/CJ0038/CJ0039/CJ0040/DM0027/JO0029/NN0441/NN0442/JO0050/SP0018/SP0024/AC0077.1/AC0077.2/AC0077.3/AC0088/AC0103/AC0111/AC0115/AC0120/AC0124/AC0125/AC0128/AC0139/CJ0060/CJ0063/CJ0064/CJ0067/CJ0072/CJ0074/CJ0076/CJ0086/JO0055/JO0068/JO0087/JO0089/NM0033/NM0071/NM0077/NN0451/NN0458/NN0462/NN0463/NN0467/NN0468/JO0062/JO0083/JO0093/JO0095/AC0154/AC0172/CJ0102/CJ0111/CJ0117/CJ0119/CJ0120/CJ0126/CJ0139/CJ0144/CJ0152/CJ0161/CJ0175/JO0001/JO0096/JO0109/JO0114/JO0119/JO0123/JO0130/JO0149/JO0166/NN0474/SP0039/SP0040/SP0046/CJ0187/CJ0192/DM0011/DM0014/DM0024/HK0002/HK0161.1/HK0161.2/HK0261/JO0198/JO0199/JS0039/JS0054/JS0199/JS0234/JS0260/JS0278/JS0279/JS0411/LM0075.1/LM0075.2/LM0165/LM0168/LM0176.3/LM0186/LM0189/LM0194/LM0265/NM0081/NM0091/NM0126/NN0003/NN0240/NN0247/NN0261/NN0486/NN0488/NN0498/NN0500/NN0514.1/NN0514.2/NN0518/NN0522/NN0527/NN0554/NN0559.1/NN0559.2/NN0559.3/NN0559.4/NN0561/SA0007/JO0003/NM0002/NM0004/NN0410/AC0009/JO0007/AC0011/AC0013/CJ0008/SP0002,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Triple calcium superphosphate,AC0135,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Triple super phosphate,CJ0150.1,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Triple superphosphate,JO0134/JO0136,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Unspecified,AC0039,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Unspecified,AC0039/DM0018,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
