value,B.Code,field,field_alt,table,master_tab,issue_addressed,addressed_by_whom,notes
"Journal of Human, Earth, and Future",NM0088/NM0099,B.Journal,,Pub.Out,journals,FALSE,"",""
Journal of Insects as Food and Feed,JO0106,B.Journal,,Pub.Out,journals,FALSE,"",""
Journal of Integrative Agriculture,NN0511,B.Journal,,Pub.Out,journals,FALSE,"",""
"Journal on Food, Agriculture and Society",JO0164,B.Journal,,Pub.Out,journals,FALSE,"",""
Land Use Policy,NM0023,B.Journal,,Pub.Out,journals,FALSE,"",""
Londriana,NM0029,B.Journal,,Pub.Out,journals,FALSE,"",""
"OCL - Oilseeds and fats, Crops and Lipids",JO0165,B.Journal,,Pub.Out,journals,FALSE,"",""
Open Agriculture Journal,CJ0122,B.Journal,,Pub.Out,journals,FALSE,"",""
Pesquisa Agropecuaria Brasileira ,DM0021,B.Journal,,Pub.Out,journals,FALSE,"",""
Pesquisa Agropecuária Brasileira,NN0432,B.Journal,,Pub.Out,journals,FALSE,"",""
Plant Soil,JO0213,B.Journal,,Pub.Out,journals,FALSE,"",""
Plants,SP0021,B.Journal,,Pub.Out,journals,FALSE,"",""
Proceedings of the National Academy of Sciences India Section B - Biological Sciences,CJ0178,B.Journal,,Pub.Out,journals,FALSE,"",""
Revista Brasileira De Ciencia Do Solo,CJ0086,B.Journal,,Pub.Out,journals,FALSE,"",""
Revista Brasileira de Engenharia Agrícola e Ambiental,NN0433/NM0047,B.Journal,,Pub.Out,journals,FALSE,"",""
Sabrao Journal of Breeding and Genetics,JO0182,B.Journal,,Pub.Out,journals,FALSE,"",""
Scientia Agricola ,NM0052,B.Journal,,Pub.Out,journals,FALSE,"",""
Scientific Report,JO0049/JO0137,B.Journal,,Pub.Out,journals,FALSE,"",""
Small Scale Forestry,JO0036,B.Journal,,Pub.Out,journals,FALSE,"",""
Sociobiology,JO0022,B.Journal,,Pub.Out,journals,FALSE,"",""
Soil & Tillage Research,AC0005,B.Journal,,Pub.Out,journals,FALSE,"",""
Soil Fertility & Crop Nutrition,NM0046,B.Journal,,Pub.Out,journals,FALSE,"",""
Solid Earth,JO0107,B.Journal,,Pub.Out,journals,FALSE,"",""
South African Journal of Science,NM0053,B.Journal,,Pub.Out,journals,FALSE,"",""
Sustainability (Switzerland),CJ0175,B.Journal,,Pub.Out,journals,FALSE,"",""
Sustainable Water Resource Mnagement,JO0200,B.Journal,,Pub.Out,journals,FALSE,"",""
Sustainable Water Resources Management,NM0104,B.Journal,,Pub.Out,journals,FALSE,"",""
The Journal of Agricultural Science,NM0076,B.Journal,,Pub.Out,journals,FALSE,"",""
Tropical Ecology,SA0066,B.Journal,,Pub.Out,journals,FALSE,"",""
Water ,CJ0012/CJ0029,B.Journal,,Pub.Out,journals,FALSE,"",""
Water Switzerland,JO0135,B.Journal,,Pub.Out,journals,FALSE,"",""
Weed Biology and Management,JO0001,B.Journal,,Pub.Out,journals,FALSE,"",""
Yuzuncu Yil University Journal of Agricultural Sciences,CJ0145,B.Journal,,Pub.Out,journals,FALSE,"",""
