Tree.Latin.Name,N,master_table,issue,issue_addressed,addressed_by_whom,notes
Senna occidentalis,,trees,Needs n-fixing status adding,FALSE,"",""
Senna siamea,,trees,Needs n-fixing status adding,FALSE,"",""
Senna siamea,2,trees,More than one entry for same tree name,FALSE,"",""
Senna spectabilis,,trees,Needs n-fixing status adding,FALSE,"",""
Senna spectabilis,2,trees,More than one entry for same tree name,FALSE,"",""
Sesbania cinerascens,,trees,Needs n-fixing status adding,FALSE,"",""
Sesbania goetzei,,trees,Needs n-fixing status adding,FALSE,"",""
Sesbania macrantha,,trees,Needs n-fixing status adding,FALSE,"",""
Sesbania rostrata,,trees,Needs n-fixing status adding,FALSE,"",""
Sesbania sesban,,trees,Needs n-fixing status adding,FALSE,"",""
Solanum sp.,,trees,Needs n-fixing status adding,FALSE,"",""
Spathodea campanulata,,trees,Needs n-fixing status adding,FALSE,"",""
Stylosanthes guianensis,,trees,Needs n-fixing status adding,FALSE,"",""
Stylosanthes hamata,,trees,Needs n-fixing status adding,FALSE,"",""
Syzygium guineense,,trees,Needs n-fixing status adding,FALSE,"",""
Tephrosia candida,,trees,Needs n-fixing status adding,FALSE,"",""
Tephrosia diversifolia,,trees,Needs n-fixing status adding,FALSE,"",""
Tephrosia vogelii,,trees,Needs n-fixing status adding,FALSE,"",""
Terminalia brownii,,trees,Needs n-fixing status adding,FALSE,"",""
Terminalia ivoresensis,,trees,Needs n-fixing status adding,FALSE,"",""
Terminalia sericea,,trees,Needs n-fixing status adding,FALSE,"",""
Terminalia superba,,trees,Needs n-fixing status adding,FALSE,"",""
Theobroma cacao,,trees,Needs n-fixing status adding,FALSE,"",""
Tithonia diversifolia,,trees,Needs n-fixing status adding,FALSE,"",""
Uapaca kirkiana,,trees,Needs n-fixing status adding,FALSE,"",""
Vitellaria paradoxa,,trees,Needs n-fixing status adding,FALSE,"",""
Ziziphus mauritiana,,trees,Needs n-fixing status adding,FALSE,"",""
