B.Code,value,table,field,issue,parent_table,issue_addressed,addressed_by_whom,notes
JO0212,Common bean/Maize/Maize int/U. ruziziensis Int,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,TRUE,Jabesh,
JO0213,Maize/Wheat,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,TRUE,Jabesh,
JO0213,Weeding,MT.Out,W.Level.Name,Non-match for name in W.Level.Name column.,Weed.Code,TRUE,Jabesh,
JO0214,Maize,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,TRUE,Jabesh,
JO0215,Maize/Vetiver,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,TRUE,Jabesh,Rejected
JO0216,CB/PP/RICE,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,TRUE,Jabesh,
JS0102,JAYA,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,TRUE,Jabesh,
JS0104,JAYA,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,TRUE,Jabesh,
JS0248,barley mulch/wheat  + barley mulch,MT.Out,M.Level.Name,Non-match for name in M.Level.Name column.,Res.Out,TRUE,Jabesh,
LM0318,10mVGA/5mVGA,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,TRUE,Jabesh,
LM0318,Maize/Okra/Sweet Potato/Vetiver Grass/Yam,MT.Out,PD.Level.Name,Non-match for name in PD.Level.Name column.,PD.Codes,TRUE,Jabesh,
NM0006,SST015,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,TRUE,Jabesh,
NM0022,Common bean,MT.Out,PD.Level.Name,Non-match for name in PD.Level.Name column.,PD.Codes,TRUE,Jabesh,
NM0062,Perola,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,TRUE,Jabesh,
NN0069,AT-C/AT-C-int/AT-M/AT-M-int/HC-C-int/HC-M/HC-M-int/TC-int/TM-int,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,TRUE,Jabesh,
NN0069,Traditional,MT.Out,Till.Level.Name,Non-match for name in Till.Level.Name column.,Till.Codes,TRUE,Jabesh,
NN0412,Lablab planting (intercrop)/Lablab sole/Maize planting (intercrop)/Maize sole/Vetch planting (intercrop)/Vetch sole,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,TRUE,Jabesh,
NN0427,Maize fert,MT.Out,F.Level.Name,Non-match for name in F.Level.Name column.,Fert.Out,TRUE,Jabesh,
NN0485.1,Cowpea/Maize,MT.Out,C.Level.Name,Non-match for name in C.Level.Name column.,Chems.Code,TRUE,Jabesh,
NN0485.2,Cowpea/Maize,MT.Out,C.Level.Name,Non-match for name in C.Level.Name column.,Chems.Code,TRUE,Jabesh,
NN0529,Longe 5,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,TRUE,Jabesh,
NN0546,L100/L106/L107/L109/L11/L110/L112/L113/L115/L116/L118/L120/L123/L127/L128/L132/L140/L141/L148/L158/L162/L168/L17/L170/L173/L174/L176/L177/L182/L185/L19/L190/L192/L2/L200/L202/L207/L210/L211/L215/L219/L224/L227/L23/L232/L233/L234/L236/L244/L246/L248/L249/L250/L257/L258/L263/L268/L271/L277/L281/L41/L43/L47/L49/L5/L52/L54/L55/L59/L60/L64/L68/L72/L75/L84/L86/L88/L89/Unspecified Local,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,TRUE,Jabesh,
NN0555,Acacia angustissima/Crotalaria pawlonia/Gliricida sepium/Leucaena leucocephala/Senna spectabilis/Sesbania sesban/Tephrosia candida/Tephrosia vogelii,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,TRUE,Jabesh,
SA0003,2R/2W/3R/3W/4R/4W/5R/6&5W/6R/7R/7W/8R/8W/9R&W,MT.Out,F.Level.Name,Non-match for name in F.Level.Name column.,Fert.Out,TRUE,Jabesh,Rejected
SA0003,Rice /Wheat,MT.Out,PD.Level.Name,Non-match for name in PD.Level.Name column.,PD.Codes,TRUE,Jabesh,Rejected
SA0019,CT/MB/RT,MT.Out,Till.Level.Name,Non-match for name in Till.Level.Name column.,Till.Codes,TRUE,Jabesh,
SA0037,D9+NK+FYM,MT.Out,F.Level.Name,Non-match for name in F.Level.Name column.,Fert.Out,TRUE,Jabesh,
SP0003,1,MT.Out,AF.Level.Name,Non-match for name in AF.Level.Name column.,AF.Out,TRUE,Jabesh,
SP0006,Cons,MT.Out,W.Level.Name,Non-match for name in W.Level.Name column.,Weed.Code,TRUE,Jabesh,
SP0035,PB,MT.Out,W.Level.Name,Non-match for name in W.Level.Name column.,Weed.Code,TRUE,Jabesh,
SP0047,InterCowpea/InterMaize/MonoCowpea/MonoMaize,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,TRUE,Jabesh,
SP0060,AGRA,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,TRUE,Jabesh,
