value,B.Code,table,field,table_alt,field_alt,master_tab,C.Type,issue_addressed,addressed_by_whom,notes
Azototal,CJ0079,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
BR3267,NM0126,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bacillus circulans,CJ0173,Chem.Out,C.Name,,C.Name.2020,chem,Biofertilizer,FALSE,"",""
Bacillus circulans,CJ0173,Chem.Out,C.Name,,C.Name.2020,chem,Biofertilizer,FALSE,"",""
Bacillus megaterium,CJ0173,Chem.Out,C.Name,,C.Name.2020,chem,Biofertilizer,FALSE,"",""
Bacillus megaterium,CJ0173,Chem.Out,C.Name,,C.Name.2020,chem,Biofertilizer,FALSE,"",""
Bacillus subtilis,CJ0085,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bacillus subtilis,CJ0085,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bacillus subtilis,CJ0085,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bacillus subtilis,CJ0085,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bacillus subtilis,CJ0117,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bacillus subtilis,CJ0117,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bacillus subtilis,CJ0117,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bacillus subtilis,CJ0117,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bayleton 25 WP,JO0156,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Bayleton 25 WP,JO0156,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Bayleton 25 WP,JO0156,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Bayleton 25 WP,JO0156,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Benlate,CJ0180,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Betacyflutrin,JO0096,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Betacyflutrin ,JO0096,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Bicyclopyrone,CJ0095,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
"Biofix , USDA 110",NM0126,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Blue green algae,SA0017,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bonsoin ,CJ0159,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Bonsoin ,CJ0159,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Bonsoin ,CJ0159,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Bonsoin ,CJ0159,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Bonsoin ,CJ0159,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Bonsoin ,CJ0159,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Bradyhizobium elkanii,NM0047,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobia,AC0070,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium,CJ0202,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium,CJ0202,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium,JO0086,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium elkanii,CJ0061,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium elkanii,NN0442,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium elkanii,NN0442,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,AC0046,Chem.Out,C.Name,,C.Name.2020,chem,Biofertilizer,FALSE,"",""
Bradyrhizobium japonicum,AC0106,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,AC0111,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,AC0144,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,AC0144,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,AC0167,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,CJ0038,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,CJ0072,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,CJ0119,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,CJ0166,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,CJ0166,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,CJ0166,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,CJ0166,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,CJ0166,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,CJ0166,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,CJ0166,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,CJ0166,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,CJ0166,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,NM0015,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,NM0057,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,NN0434,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,NN0434,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,NN0442,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,NN0442,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,NN0508,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,SP0029,Chem.Out,C.Name,,C.Name.2020,chem,Biofertilizer,FALSE,"",""
Bradyrhizobium japonicum,SP0033,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrhizobium japonicum,SP0040,Chem.Out,C.Name,,C.Name.2020,chem,Biofertilizer,FALSE,"",""
Bradyrhyzobium elkanii,NN0470,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Bradyrizhobium,AC0123,Chem.Out,C.Name,,C.Name.2020,chem,Biofertilizer,FALSE,"",""
Bromoxynil,JO0096,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Buldock,LM0176.3,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Buldock,LM0189,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
"Bulldock 0,05GR",SP0006,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Butachlor,SA0028,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Bypel 1,CJ0032,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
C-05,JO0016.1,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
C-05,JO0016.2,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
CP-29,CJ0198,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Carbendazim,AC0145,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Carbendazim + Thiram,NM0062,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Chlorantraniliprole,CJ0014,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Chlorimuron,NM0059,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Chlorimuron,NM0059,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Chlorpyrifos,CJ0008,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Chlorpyrifos,CJ0008,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Chlorpyrifos,CJ0008,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Chlorpyrifos,CJ0077,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Chlorpyrifos,JO0015.1,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Chlorpyrifos,JO0015.2,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Chlorpyrifos,JO0083,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Citric acid,JO0181,Chem.Out,C.Name,,C.Name.2020,chem,Antistress,FALSE,"",""
Citric acid,JO0181,Chem.Out,C.Name,,C.Name.2020,chem,Antistress,FALSE,"",""
Clethodim,NM0059,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Clethodim,NM0059,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Copper Oxide,CJ0097,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Copper hydroxide,SP0022,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Copper hydroxide,SP0022,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Copper hydroxide,SP0022,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Cotesia flavipes,CJ0117,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Cotoran,NN0128.2,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Cropstar,AC0115,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Cyanazine,NM0059,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Cyanobacteria,JO0091,Chem.Out,C.Name,,C.Name.2020,chem,Biofertilizer,FALSE,"",""
Cyanobacteria,JO0091,Chem.Out,C.Name,,C.Name.2020,chem,Biofertilizer,FALSE,"",""
Cymbus super,NN0069,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Cypermethrin,CJ0011,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
DF-14,JO0016.1,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
DF-14,JO0016.2,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
DUDUBA 450 EC,NM0004,Chem.Out,C.Name,,C.Name.2020,chem,Biopesticide,FALSE,"",""
Deltamethrine,AF0006,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Deltamethrine,CJ0100,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Deltamethrine,JS0307,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Demise,JO0145,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Dichlorvos,CJ0149,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Diclofop-methyl,NM0059,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Difenoconazol,JO0134,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Dimeto,JO0135,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Diphenoconazole,JO0087,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Diptirex,LM0176.3,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Diptirex,LM0189,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Dithane,JO0196,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Diuron,JO0107,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Diuron,NM0059,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Diuron,NM0059,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Diuron,NN0132,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Dual Gold 960EC,SP0006,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Electrodyn,NN0069,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Endosulfan,NM0069,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Espinosade,JO0087,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Etherel,JS0411,Chem.Out,C.Name,,C.Name.2020,chem,Other,FALSE,"",""
FB-1018,CJ0161,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
FB-1035,CJ0161,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
FB-1035,CJ0198,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
FB-Murdoch,CJ0161,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Fenitrothion,CJ0115,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Fenvalerate,NN0296,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Fipronil,JO0087,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Fipronil,NM0096,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Fipronil,SP0017,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Fipronil,SP0037,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Florasulam,CJ0195,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Florasulam,CJ0195,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Florasulam,CJ0195,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Florasulam,CJ0195,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Fluazifop-P-butyl,CJ0155,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Fluazifop-p-butyl,JO0132,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Fluazifop-p-butyl,JO0132,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Fludioxonil,JO0087,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Flumetsulam,CJ0155,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Fluopicolide,NM0100,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Fluroxypyr 1-Methylheptyl Ester,JO0096,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Fluroxypyr 1-Methylheptyl Ester ,JO0096,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Fomesafen,NM0059,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Fox,NM0048,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Fox,NM0048,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Furadan 5G,CJ0155,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Gesaprim,NM0085,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Gibbeliric acid,JO0199,Chem.Out,C.Name,,C.Name.2020,chem,Other,FALSE,"",""
Gibbrelic acid,CJ0133,Chem.Out,C.Name,,C.Name.2020,chem,Other,FALSE,"",""
HB-429,CJ0198,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Herbaspirillum seropedicae,CJ0063,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Herbaspirillum seropedicae,NM0047,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Heterodera multicinctus,NN0278,Chem.Out,C.Name,,C.Name.2020,chem,Other,FALSE,"",""
Heterodera multicinctus,NN0278,Chem.Out,C.Name,,C.Name.2020,chem,Other,FALSE,"",""
Hexazinone,CJ0117,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Imazaquin,NM0059,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Imazaquin,NM0059,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Imazaquin,NM0059,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Imazaquin,NM0059,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Imidacloprid,NM0062,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
KNUST 1001,NM0126,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
KNUST 1002,NM0126,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
KNUST 1003,NM0126,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
KNUST 1031,NM0126,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
KNUST 1032,NM0126,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Lannat BR,AC0026,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Lannat BR,AC0026,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Lasso,NN0132,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Legumefix,NN0468,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Lye water,NM0067,Chem.Out,C.Name,,C.Name.2020,chem,Bioinsecticide,FALSE,"",""
MAR-1495,CJ0198,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Malathion,JO0135,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Malathion,JS0006.1,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Malathion,JS0006.2,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Mancozeb,JO0196,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Mancozeb,NN0500,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Manual labour,AC0045/CJ0031/NN0441/AC0070/CJ0045/JO0060/NN0458/JO0083/AC0152/CJ0143/CJ0149/JO0100/AF0002/JO0181/JO0186/LM0075.3/LM0108/NM0096/NM0119/NN0503,Chems.Out,C.Mechanization,Fert.Out,F.Mechanisation,lookup_levels,,FALSE,"",""
Manzate D,JS0006.1,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Manzate D,JS0006.2,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Maxim,AC0144,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Maxim,AC0144,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Maxim XL,NM0048,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Maxim XL,NM0048,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Maxim XL,NM0048,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
Maxim XL,NM0048,Chem.Out,C.Name,,C.Name.2020,chem,Fungicide,FALSE,"",""
